ID	Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source2	Sutta2	Example2	Source3	Sutta3	Example3	Test	audio	Feedback
54556	saraṇamāgamma	sandhi	nt + ger						coming to refuge; arriving at shelter				saraṇaṃ + āgamma									DHP 192	buddhavaggo	etaṃ kho saraṇaṃ khemaṃ, etaṃ saraṇam’uttamaṃ, <br/>etaṃ <b>saraṇam’āgamma,</b> sabbadukkhā pamuccati.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saraṇamāgamma&entry.1433863141=DHP"">Fix it here</a>."
49295	sabbapāpa	nt	comp						all evil deed; all crimes; all wrongdoing				sabba + pāpa									DHP 183	buddhavaggo	<b>sabbapāpassa</b> akaraṇaṃ, kusalass'ūpasampadā. <br/>sacitta-pariyodapanaṃ, etaṃ buddhāna sāsanaṃ.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sabbapāpa&entry.1433863141=DHP"">Fix it here</a>."
49585	sacittapariyodapanā	fem	comp						purifying one's own mind; cleansing one's mind				sacitta + pariyodapanā									DHP 183	buddhavaggo	sabbapāpassa akaraṇaṃ, kusalass'ūpasampadā. <br/><b>sacittapariyodapanaṃ</b>, etaṃ buddhāna sāsanaṃ.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sacittapariyodapanā&entry.1433863141=DHP"">Fix it here</a>."
70003	yiṭṭha	pp		yajati					given (as a gift); offered; lit. sacrificed		√yaj 1 a (to honour, sacrifice)		√yaj + ita	iṣṭa	√yaj							DHP 108	sahassavaggo	yaṃ kiñci <b>yiṭṭhaṃ</b> va hutaṃ va loke, saṃvaccharaṃ yajetha puññapekkho,<br/>sabbam'pi taṃ na catubhāgam'eti, abhivādanā ujugatesu seyyo.	MN 41	sāleyyakasuttaṃ	sammādiṭṭhiko kho pana hoti aviparīta-dassano — ‘atthi dinnaṃ atthi <b>yiṭṭhaṃ</b> atthi hutaṃ, atthi sukata-dukkaṭānaṃ kammānaṃ phalaṃ vipāko, atthi ayaṃ loko atthi paro loko, atthi mātā atthi pitā, …	55	[sound:yiṭṭha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yiṭṭha&entry.1433863141=DHP"">Fix it here</a>."
34290	muccati 1	pr				pass	intrans		is free (from); becomes free (from); is released (from)		√muc 2 ya (to release, free)	√muc + ya > mucca (pass)	mucca + ti	mucyate	√muc							DHP 127	pāpavaggo	na antalikkhe na samuddamajjhe, na pabbatānaṃ vivaraṃ pavissa. <br/>na vijjatī so jagati-ppadeso, yattha-ṭṭhito <b>mucceyya</b> pāpakammā.	MN 39	mahāassapurasuttaṃ	seyyathā’pi puriso ābādhiko assa dukkhito bāḷha-gilāno, bhattañ’ca’ssa nacchādeyya, na c’assa kāye bala-mattā. so aparena samayena tamhā ābādhā <b>mucceyya</b>	55	[sound:muccati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=muccati 1&entry.1433863141=DHP"">Fix it here</a>."
33595	mātari	fem	loc sg	mātar					in mother; towards mother				mātu + ari	mātari								DHP 284	maggavaggo	yāva hi vanatho na chijjati, aṇumatto'pi narassa nārisu,<br/>paṭibaddhamano'va tāva so, vaccho khīrapako'va <b>mātari</b>.	SN 7.15	mānatthaddhasuttaṃ	<b>mātari</b> pitari c’āpi, atho jeṭṭhamhi bhātari. ācariye catutthamhi, tesu na mānaṃ kayirātha.	55	[sound:mātari.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mātari&entry.1433863141=DHP"">Fix it here</a>."
31794	maccudheyya	nt	comp						realm of death; sphere of Mara; power of death				maccu + dheyya	mṛtyu + dheya								DHP 086	paṇḍitavaggo	ye ca kho sammad-akkhāte, dhamme dhamm’ānuvattino, <br/>te janā pāram’essanti, <b>maccudheyyaṃ</b> suduttaraṃ.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=maccudheyya&entry.1433863141=DHP"">Fix it here</a>."
13749	bhagga 1	pp		bhañjati					broken; shattered; fractured		√bhañj 1 a (to break, destroy)		√bhañj + ta	bhagna	√bhañj							DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā <b>bhaggā</b>, gahakūṭaṃ visaṅkhataṃ, <br/>visaṅkhāragataṃ cittaṃ, taṇhānaṃ khayam’ajjhagā.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhagga 1&entry.1433863141=DHP"">Fix it here</a>."
66703	vihiṃsati	pr					trans	+acc	hurts; injures; annoys		√his 2 ṃa (to hurt, harm)	√his + ṃa > hiṃsa	vi + hiṃsa + ti		√hiṃs							DHP 131	daṇḍavaggo	sukhakāmāni bhūtāni, yo daṇḍena <b>vihiṃsati</b>,<br/>attano sukham'esāno, pecca so na labhate sukhaṃ.	SNP 7	vasalasuttaṃ<br/>uragavaggo	ekajaṃ vā dvijaṃ vā’pi, yo’dha pāṇaṃ <b>vihiṃsati</b>, <br/>yassa pāṇe dayā n’atthi, taṃ jaññā vasalo iti.	55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vihiṃsati&entry.1433863141=DHP"">Fix it here</a>."
13397	bala 1	nt							strength; power; might		√bal 1 a (to live, be strong)		√bal + a	bala	√bal							DHP 109	sahassavaggo	abhivādana-sīlissa, niccaṃ vuḍḍh’āpacāyino, <br/>cattāro dhammā vaḍḍhanti, āyu vaṇṇo sukhaṃ <b>balaṃ</b>.	MN 39	mahāassapurasuttaṃ	ahaṃ kho pubbe ābādhiko ahosiṃ dukkhito bāḷhagilāno, bhattañ'ca me nacchādesi, na ca me āsi kāye <b>bala</b>-mattā	55	[sound:bala.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bala 1&entry.1433863141=DHP"">Fix it here</a>."
69099	vuḍḍhāpacāyī	adj	comp						paying respect to the elderly; honouring the seniors; venerating the venerable				vuḍḍha + apacāyī	vṛddha + apacāyaka		vaddhāpacāī						DHP 109	sahassavaggo	abhivādana-sīlissa, niccaṃ <b>vuḍḍh’āpacāyino</b>, <br/>cattāro dhammā vaḍḍhanti, āyu vaṇṇo sukhaṃ balaṃ.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vuḍḍhāpacāyī&entry.1433863141=DHP"">Fix it here</a>."
24485	huta 2	pp		juhati					offered; lit. burnt in fire as an offering		√hu 1 a (to give, sacrifice)		√hu + ta	huta	√hu							DHP 108	sahassavaggo	yaṃ kiñci yiṭṭhaṃ va <b>hutaṃ</b> va loke, saṃvaccharaṃ yajetha puññapekkho,<br/>sabbam'pi taṃ na catubhāgam'eti, abhivādanā ujugatesu seyyo.	MN 41	sāleyyakasuttaṃ	sammādiṭṭhiko kho pana hoti aviparīta-dassano — ‘atthi dinnaṃ atthi yiṭṭhaṃ atthi <b>hutaṃ</b>, atthi sukata-dukkaṭānaṃ kammānaṃ phalaṃ vipāko, atthi ayaṃ loko atthi paro loko, atthi mātā atthi pitā, …	55	[sound:huta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=huta 2&entry.1433863141=DHP"">Fix it here</a>."
21952	eti 1	pr					intrans		comes (to)		√i 1 a (to come, go)	√i + *a > e	e + ti	eti	√i							SNP 8	mettasuttaṃ<br/>uragavaggo 8	diṭṭhiñ’ca anupaggamma,   sīlavā dassanena sampanno,  <br/>kāmesu vineyya gedhaṃ,   na hi jātu gabbha-seyyaṃ punar’<b>etī</b>’ti.	DHP 086	paṇḍitavaggo	ye ca kho samma'd'akkhāte, dhamme dhamm’ānuvattino, <br/>te janā pāram’<b>essanti,</b> maccudheyyaṃ suduttaraṃ.	55	[sound:eti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=eti 1&entry.1433863141=DHP"">Fix it here</a>."
62526	upaghātī	adj		upaghāteti					who injures; who harms		√ghaṭ 8 *e (to strike, kill)		upa + √ghaṭ + *ī	upaghātin	√han √ghaṭ										DHP 184	buddhavaggo	khantī paramaṃ tapo titikkhā, nibbānaṃ paramaṃ vadanti buddhā, <br/>na hi pabbajito par’<b>ūpaghātī</b>, na samaṇo hoti paraṃ viheṭhayanto.	55	[sound:upaghātī.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upaghātī&entry.1433863141=DHP"">Fix it here</a>."
24960	itara 2	pron		ima					rest; common; ordinary																DHP 085	paṇḍitavaggo	appakā te manussesu, ye janā pāragāmino.<br/>ath’āyaṃ <b>itarā</b> pajā, tīram’ev’ānudhāvati.	55	[sound:itara.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=itara 2&entry.1433863141=DHP"">Fix it here</a>."
12973	āyoga 1	masc						+loc	devotion (to); practice (of); exertion (in); pursuit (of); lit. yoking to		√yuj 2 ṃa (to yoke, join)		ā + √yuj > yog + *a	āyoga	√yuj										DHP 185	buddhavaggo	anūpavādo anūpaghāto, pātimokkhe ca saṃvaro, <br/>mattaññutā ca bhattasmiṃ, pantañ’ca sayan’āsanaṃ, <br/>adhicitte ca <b>āyogo</b>, etaṃ buddhāna sāsanaṃ.	55	[sound:āyoga.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āyoga 1&entry.1433863141=DHP"">Fix it here</a>."
10235	asārato	ind	adv, abl sg	sāra	neg				as unessential; as insubstantial; as valueless; as essenceless		√sar 1 a (to go, flow)		na > a + √sar > sār + *a + to<br/>asāra + to	asārāt	√sṛ							TH 262	tālapuṭattheragāthā	satthā ca me lokam'imaṃ adhiṭṭhahi,<br/>aniccato addhuvato <b>asārato</b>,<br/>pakkhanda maṃ citta jinassa sāsane,<br/>tārehi oghā mahatā suduttarā.	DHP 012	yamakavaggo	sārañ'ca sārato ñatvā, asārañ'ca <b>asārato</b>,<br/>te sāraṃ adhigacchanti, sammāsaṅkappa-gocarā.	55	[sound:asārato.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=asārato&entry.1433863141=DHP"">Fix it here</a>."
8892	appaka 2	nt		appa					few things; few people; small amount				appa + ka	alpaka											DHP 085	paṇḍitavaggo	<b>appakā</b> te manussesu, ye janā pāragāmino.<br/>ath’āyaṃ itarā pajā, tīram’ev’ānudhāvati.	55	[sound:appaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=appaka 2&entry.1433863141=DHP"">Fix it here</a>."
6422	anoka 1	adj		na oka	neg				homeless; without worldly attachment		√uc 3 ya (to comfort)		na + √uc > ok + *a	na + oka	√uc										DHP 087	paṇḍitavaggo	kaṇhaṃ dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/>okā <b>anokam</b>’āgamma, viveke yattha dūramaṃ.	55	[sound:anoka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anoka 1&entry.1433863141=DHP"">Fix it here</a>."
6425	anokamāgamma	ger	comp vb						becoming homeless; (comm) coming to non-clinging; lit. coming to homeless				anokaṃ + āgamma				(KNa) okā anokamāgammā'ti okaṃ vuccati ālayo, anokaṃ vuccati anālayo, ālayato nikkhamitvā anālayasaṅkhātaṃ nibbānaṃ paṭicca ārabbha taṃ patthayamāno bhāveyyāti attho.								DHP 087	paṇḍitavaggo	kaṇhaṃ dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/>okā <b>anokam’āgamma</b>, viveke yattha dūramaṃ.	55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anokamāgamma&entry.1433863141=DHP"">Fix it here</a>."
5763	anekajāti	adj	comp						with many births; having multiple lives				aneka + jāti	aneka + jāti											DHP 153	jarāvaggo	<b>anekajāti</b>-saṃsāraṃ, sandhāvissaṃ anibbisaṃ, <br/>gahakāraṃ gavesanto, dukkhā jāti punappunaṃ.	55	[sound:anekajāti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anekajāti&entry.1433863141=DHP"">Fix it here</a>."
6949	anūhata	pp		na ūhaññati	neg				not destroyed; unimpaired; not uprooted		√han 1 a (to smite, kill)		na + ud + √han + ta		√han										DHP 338	taṇhāvaggo	yathā’pi mūle anupaddave daḷhe, chinno’pi rukkho punar’eva rūhati, <br/>evam’pi taṇhā-anusaye <b>anūhate</b>, nibbattatī dukkham’idaṃ punappunaṃ.	55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anūhata&entry.1433863141=DHP"">Fix it here</a>."
7346	anūpavāda	masc		na upavāda	neg				not blaming; not insulting; nor abusing		√vad 1 a (to say, speak)		na + upa + √vad + *a	na + upavāda	√vad			with metrically lengthened ū							DHP 185	buddhavaggo	<b>anūpavādo</b> anūpaghāto, pātimokkhe ca saṃvaro, <br/>mattaññutā ca bhattasmiṃ, pantañ’ca sayan’āsanaṃ, <br/>adhicitte ca āyogo, etaṃ buddhāna sāsanaṃ.	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anūpavāda&entry.1433863141=DHP"">Fix it here</a>."
7190	anūpaghāta	masc		na upaghāta	neg				not harming; not hurting; non-violence		√ghaṭ 8 *e (to strike, kill)		na > an + upa + √ghaṭ > ghāṭ + *a	na + upaghāta	√han √ghaṭ			with metrically lengthened ū							DHP 185	buddhavaggo	anūpavādo <b>anūpaghāto</b>, pātimokkhe ca saṃvaro, <br/>mattaññutā ca bhattasmiṃ, pantañ’ca sayan’āsanaṃ, <br/>adhicitte ca āyogo, etaṃ buddhāna sāsanaṃ.	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anūpaghāta&entry.1433863141=DHP"">Fix it here</a>."
7802	anuvattī	masc	agent	anuvattati					following; acting according to; obedient to		√vatt 1 a (to be, proceed)		anu + √vatt + ī	anuvartin	√vṛt (to move on, turn)										DHP 086	paṇḍitavaggo	ye ca kho sammad-akkhāte, dhamme dhamm’<b>ānuvattino</b>, te janā pāram’essanti, maccudheyyaṃ suduttaraṃ.	55	[sound:anuvattī.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anuvattī&entry.1433863141=DHP"">Fix it here</a>."
7168	anupaddava	adj			neg				free from danger; uninjured; safe; lit. not rushing on		√dū 1 a (to run)		na + upa + √dū > dav + *a		√du										DHP 338	taṇhāvaggo	yathā’pi mūle <b>anupaddave</b> daḷhe, chinno’pi rukkho punar’eva rūhati, <br/>evam’pi taṇhā-anusaye anūhate, nibbattatī dukkham’idaṃ punappunaṃ.	55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anupaddava&entry.1433863141=DHP"">Fix it here</a>."
