Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
paṭiggaṇhāti 1	ps	pr					trans	+acc	takes; accepts; receives			√gah 6 ṇhā (to grasp, take)	√gah + ṇhā > gaṇhā	pati + gaṇhā + tu	pratigṛhṇāti	√grah √gṛbh √gṛh	paṭigaṇhāti			DN 14.14	mahāpadānasuttaṃ	seyyathā’pi nāma suddhaṃ vatthaṃ apagatakāḷakaṃ samma’d’eva rajanaṃ <b>paṭiggaṇheyya</b>	Thai		ime sakkāre duggata-paṇṇ’ākāra-bhūte <b>paṭiggaṇhātu</b> amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	paṭiggaṇh	āti pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṭiggaṇhāti 1"">feedback</a>"	Buddh'ādi-āmisa-pūjā
sakkāra	ps	masc		sakkaroti					honour; accolade; respect; praise; lit. proper action			√kar 7 o (to do, make)		sat + √kar > kār + *a	satkāra	√kṛ				SN 6.12	devadattasuttaṃ	phalaṃ ve kadaliṃ hanti, phalaṃ veḷuṃ phalaṃ naḷaṃ.<br/><b>sakkāro</b> kāpurisaṃ hanti, gabbho assatariṃ yathā”ti.	Thai		imehi <b>sakkārehi</b> yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	sakkār	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sakkāra"">feedback</a>"	Buddh'ādi-āmisa-pūjā
āropita 1	ps	pp		āropeti		caus			placed; prepared; put on top; lit. mounted			√ruh 1 *e (to ascend, grow)	√ruh + *e > rohe > rope (caus)	ā + rope + ita	āropita	√ruh				SN 20.2	nakhasikhasuttaṃ	taṃ kiṃ maññatha bhikkhave, katamaṃ nu kho bahutaraṃ, yo v’āyaṃ mayā paritto nakhasikhāyaṃ paṃsu <b>āropito</b> ayaṃ vā mahāpathavī’ti?	Thai		imehi sakkārehi yath’ārahaṃ <b>āropitehi</b> abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	āropit	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āropita 1"">feedback</a>"	Buddh'ādi-āmisa-pūjā
yassa 2	ps	pron	masc & nt gen sg	ya					of whoever; of whichever; of that which; who’s					ya + assa	yena					DHP 93	arahantavaggo	yass’āsavā parikkhīṇā, āhāre ca anissito, suññato animitto ca, <br/>vimokkho <b>yassa</b> gocaro, ākāse va sakuntānaṃ, padaṃ tassa durannayaṃ.	Thai		supaṭipanno <b>yassa</b> bhagavato sāvakasaṅgho	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!	ya	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yassa 2"">feedback</a>"	Buddh'ādi-āmisa-pūjā
namati 2	ns	pr					trans	+acc	bends; bows down			√nam 1 a (to bend)	√nam + a > nama	nama + ti	namati	√nam				SNP 44	jarāsuttaṃ<br/>aṭṭhakavaggo 6	maraṇena'pi taṃ pahīyati, yaṃ puriso mam'idan'ti maññati,<br/>etam'pi viditvā paṇḍito, na mamattāya <b>nametha</b> māmako.	Thai		supaṭipanno bhagavato sāvakasaṅgho saṅghaṃ <b>namāmi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	nam	ati pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namati 2"">feedback</a>"	Buddh'ādi-āmisa-pūjā
yena 1	ns	pron	masc instr sg	ya					by which; with that which; by who; with one who					ya + ena	yena					SNP 61	upasīva māṇava pucchā<br/>pārāyanavaggo 6	atthaṅ'gatassa na pamāṇam'atthi, <b>yena</b> naṃ vajjuṃ taṃ tassa n'atthi,<br/>sabbesu dhammesu samohatesu, samūhatā vādapathā'pi sabbe'ti.	Thai		svākkhāto <b>yena</b> bhagavatā dhammo	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!	ya	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yena 1"">feedback</a>"	Buddh'ādi-āmisa-pūjā
namassati	ps	pr					trans	+acc	worships; venerates; honours; pays respect			√namass 1 a (to bow, worship)	√namass + a > namassa	namassa + ti	namasyati	√namasya				SN 7.15	mānatthaddhasuttaṃ	arahante sītībhūte, katakicce anāsave nihacca mānaṃ athaddho, te <b>namasse</b> anuttare”ti.	Thai		svākkhāto bhagavatā dhammo, dhammaṃ <b>namassāmi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	namass	ati pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namassati"">feedback</a>"	Buddh'ādi-āmisa-pūjā
no 6	ps	pron	1st dat pl	ahaṃ					for us; to us						naḥ					SN 3.4	piyasuttaṃ	kiñ’c’āpi te evaṃ vadeyyuṃ — ‘piyo <b>no</b> attā’ti, atha kho tesaṃ appiyo attā. taṃ kissa hetu? yañ’hi appiyo appiyassa kareyya, taṃ te attanā’va attano karonti; tasmā tesaṃ appiyo attā.	Thai		sādhu <b>no</b> bhante bhagavā sucira-parinibbuto’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!*	ahaṃ pron	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=no 6"">feedback</a>"	Buddh'ādi-āmisa-pūjā
sucira	s	ind	adv, in comps						after a very long time; eventually					su + cira	sucira								Thai		sādhu no bhante bhagavā <b>sucira</b>-parinibbuto’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucira"">feedback</a>"	Buddh'ādi-āmisa-pūjā
suciraparinibbuta	s	pp	comp						after a long time attained liberation; eventually completely extinguished					sucira + parinibbuta									Thai		sādhu no bhante bhagavā <b>suciraparinibbuto</b>’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	suciraparinibbut	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suciraparinibbuta"">feedback</a>"	Buddh'ādi-āmisa-pūjā
api 3	ns	ind							although; but; however; yet						api					AN 3.81	cūḷanikāsuttaṃ	<b>api</b> ca, udāyi, ānando diṭṭh'eva dhamme parinibbāyissatī'ti	Thai		sādhu no bhante bhagavā sucira-parinibbuto’<b>pi </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=api 3"">feedback</a>"	Buddh'ādi-āmisa-pūjā
janatā	ns	fem		jana					the people; folk			√jan 3 ya (to be born, produce)		√jan + a + tā	janatā	√jan				SN 6.1	brahmāyācanasuttaṃ	sele yathā pabbatam'uddhaniṭṭhito, yathā'pi passe <b>janataṃ</b> samantato,<br/>tath'ūpamaṃ dhammamayaṃ sumedha, pāsādamāruyha samantacakkhu.	Thai		sādhu no bhante bhagavā sucira-parinibbuto’pi pacchimā-<b>janat’</b>ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	janat	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=janatā"">feedback</a>"	Buddh'ādi-āmisa-pūjā
mānasa 2	s	adj	in comps	manas					of such mind; with such a heart			√man 3 ya (to think)		√man > mān + as + *a<br/>manas + *a	mānasa	√man							Thai		sādhu no bhante bhagavā sucira-parinibbuto’pi pacchimā-janat’ānukampa-<b>mānasā</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	mānas	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mānasa 2"">feedback</a>"	Buddh'ādi-āmisa-pūjā
pacchima 5	ns	adj	superl	pacchā					later; future; lit. last					pacchā + ima	paścima					AN 2.31	bālavaggo	dv'āhaṃ, bhikkhave, atthavase sampassamāno araññavanapatthāni pantāni sen'āsanāni paṭisevāmi. katame dve? attano ca diṭṭhadhammasukhavihāraṃ sampassamāno, <b>pacchimañ</b>'ca janataṃ anukampamāno.	Thai		sādhu no bhante bhagavā suciraparinibbuto’pi <b>pacchimā</b>-janat'ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	pacchim	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchima 5"">feedback</a>"	Buddh'ādi-āmisa-pūjā
pacchimājanatā	s	fem	comp						later generation; future population					pacchima + janatā									Thai		sādhu no bhante bhagavā suciraparinibbuto’pi <b>pacchimājanata</b>-anukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	pacchimajanat	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchimājanatā"">feedback</a>"	Buddh'ādi-āmisa-pūjā
anukampamānasa	s	adj	comp						having compassion (for); taking pity (on); having concern (for); lit. with compassionate mind					anukampa + mānasa									Thai		sādhu no bhante bhagavā suciraparinibbuto’pi pacchimājanata-<b>anukampamānasā</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	anukampamānas	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anukampamānasa"">feedback</a>"	Buddh'ādi-āmisa-pūjā
sadhamma	s	adj		dhamma					with the Teaching; with the Doctrine			√dhar 1 a (to hold, carry, endure)		sa + √dhar + ma	sa + dharma	√dhṛ							Thai		tam’mayaṃ bhagavantaṃ <b>sadhammaṃ</b> sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	sadhamm	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sadhamma"">feedback</a>"	Buddh'ādi-āmisa-pūjā
sasaṅgha	ns	adj		saṅgha					with the Community; with the Assembly			√ghaṭ 1 a (to join together)		sa + saṃ + √ghaṭ + a	sa + saṃgha	√jhaṭ				BV 2.77	sumedha patthanā kathā	dassanaṃ me atikkante,<br/><b>sasaṅghe</b> lokanāyake,<br/>sayanā vuṭṭhahitvāna,<br/>pallaṅkaṃ ābhujiṃ tadā.	Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ <b>sasaṅghaṃ</b>, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	sasaṅgh	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sasaṅgha"">feedback</a>"	Buddh'ādi-āmisa-pūjā
yathārahaṃ	s	ind	adv, comp						as is fit; as proper; as suitable; as should be			√arah 1 a (to deserve, be worthy)		yathā + √arah + aṃ<br/>yathā + arahaṃ		√arh							Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi <b>yath’ārahaṃ</b> āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yathārahaṃ"">feedback</a>"	Buddh'ādi-āmisa-pūjā
abhipūjayati	s	pr					trans	+acc	strongly worships; highly respects; honours			√pūj 8 *aya (to honour, venerate)	√pūj + aya > pūjaya	abhi + pūjaya + ti	pūjayati	√pūj							Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi <b>abhipūjayāma</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	abhipūjay	ati pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhipūjayati"">feedback</a>"	Buddh'ādi-āmisa-pūjā
arahaṃ	ps	masc	nom sg, irreg	arahanta					enlightened being; lit. worthy one			√arah 1 a (to deserve, be worthy)		√arah + (anta) + aṃ	arha	√arh				MN 39	mahāassapurasuttaṃ	kathañ’ca bhikkhu <b>arahaṃ</b> hoti? ārak’āssa honti pāpakā akusalā dhammā, saṃkilesikā, ponobbhavikā, sadarā, dukkhavipākā, āyatiṃ, jātijarāmaraṇiyā.	SN 11.3	dhajaggasuttaṃ	<b>arahaṃ</b> sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	!	arahant	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahaṃ"">feedback</a>"	Buddh’ābhitthuti
handa	ps	ind	excl						well then; now; let’s											SN 47.10	bhikkhunupassayasuttaṃ	“yassa khv’āhaṃ atthāya cittaṃ paṇidahiṃ so me attho abhinipphanno. <b>handa</b> dāni paṭisaṃharāmi”.	Thai		<b>handa</b> mayaṃ buddhassa bhagavato pubbabhāga-namakāraṃ karomase	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem							02n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=handa"">feedback</a>"	Pubbabhāga-namakāra
sammā 1	ps	ind	adv						completely; thoroughly; fully; totally						samyak					AN 6.55	soṇasuttaṃ	yo so, bhante, bhikkhu arahaṃ khīṇ'āsavo vusitavā katakaraṇīyo ohitabhāro anuppattasadattho parikkhīṇabhavasaṃyojano <b>samma-</b>d-aññā-vimutto, so cha ṭhānāni adhimutto hoti	SN 11.3	dhajaggasuttaṃ	arahaṃ <b>sammā</b>-sambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sammā 1"">feedback</a>"	Buddh’ābhitthuti
sammāsambuddha	ps	masc	comp						perfectly awakened one; fully enlightened being					sammā + saṃ + buddha	samyaksambodha					DHP 187	buddhavaggo	api dibbesu kāmesu, ratiṃ so n'ādhigacchati. <br/>taṇha’kkhaya-rato hoti, <b>sammāsambuddha</b>-sāvako	SN 11.3	dhajaggasuttaṃ	arahaṃ <b>sammāsambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem							02n	sammāsambuddh	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sammāsambuddha"">feedback</a>"	Buddh’ābhitthuti
sambuddha 1	ss	masc	pp	sambujjhati					one who has thoroughly understood; being enlightened; the Buddha			√budh 3 ya (to wake up)		saṃ + √budh + ta		√budh							SN 11.3	dhajaggasuttaṃ	arahaṃ sammā-<b>sambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	SN 6.2	gāravasuttaṃ	ye ca atītā <b>sambuddhā</b>, ye ca buddhā anāgatā. <br/>yo c’eta’r’ahi <b>sambuddho</b>, bahunnaṃ soka-nāsano.	Dhamma-gārava	Respect for the Dhamma	Verses	02n	sambuddh	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sambuddha 1"">feedback</a>"	Buddh’ābhitthuti Dhamma-gārava
