Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
akkocchi	p	aor		akkosati			trans	+acc	verbally abused			√kus 1 a (to call, insult)	√kus + *a > koccha	ā + koccha + i	akrukṣat	√kruś				DHP 3	yamakavaggo	<b>akkocchi</b> maṃ avadhi maṃ, ajini maṃ ahāsi me.<br/>ye ca taṃ upanayhanti, veraṃ tesaṃ na sammati.														akkocch	i aor	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkocchi"">feedback</a>"
akkhara 2	pp	nt		khara	neg				word; sound; syllable; lit. indestructible			√khar 1 a (to perish, break apart)		na > a + √khar + a	akṣara	√kṣar				DHP 352	taṇhāvaggo	vītataṇho anādāno, niruttipadakovido,<br/><b>akkharānaṃ</b> sannipātaṃ, jaññā pubb'āparāni ca,<br/>sa ve antimasārīro mahāpañño, mahāpuriso'ti vuccati.	SN 20.7	āṇisuttaṃ	ye pana te sutt'antā kavikatā kāveyyā citt'<b>akkharā</b> cittabyañjanā bāhirakā sāvakabhāsitā, tesu bhaññamānesu sussūsissanti, sotaṃ odahissanti											akkhar	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkhara 2"">feedback</a>"
akkhātar	ps	masc	agent	akkhāti					speaker; who tells			√khā 1 a (to tell, announce)		ā + √khā + tar	ākhyātṛ	√khyā			akkhātā is m nom sg	DHP 276	maggavaggo	tumhehi kiccam'ātappaṃ, <b>akkhātāro</b> tathāgatā,<br/>paṭipannā pamokkhanti, jhāyino mārabandhanā.	MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra <b>akkhātā</b> imesaṃ bhedāya, amutra vā sutvā na imesaṃ <b>akkhātā</b> amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akkhāt	ar masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkhātar"">feedback</a>"
agata	p	adj	pp	gacchati	neg				not gone to; untravelled			√gam 1 a (to go)		na > a + √gam + ta	agata	√gam				DHP 323	nāgavaggo	na hi etehi yānehi, gaccheyya <b>agataṃ</b> disaṃ,<br/>yath'āttanā sudantena, danto dantena gacchati.														agat	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=agata"">feedback</a>"
agandhaka	p	adj		gandha	neg				scentless; odourless; without smell			√ghā 3 ya (to smell)		na > a + √ghā + na + ka<br/>agandhaka + ka	agandhaka	√ghrā				DHP 51	pupphavaggo	yathā'pi ruciraṃ pupphaṃ, vaṇṇavantaṃ <b>agandhakaṃ</b>,<br/>evaṃ subhāsitā vācā, aphalā hoti akubbato.														agandhak	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=agandhaka"">feedback</a>"
aggi	ps	masc							fire						agni					DHP 136	daṇḍavaggo	atha pāpāni kammāni, karaṃ bālo na bujjhati. <br/>sehi kammehi dummedho, <b>aggi</b>-daḍḍho’va tappati.	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’<b>aggi</b>nā, dos’<b>aggi</b>nā, moh’<b>aggi</b>nā ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas							39n	agg	i masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aggi"">feedback</a>"
aggidaḍḍha	p	adj	comp						burned by fire; consumed by fire					aggi + daḍḍha	agnidagdha					DHP 136	daṇḍavaggo	atha pāpāni kammāni, karaṃ bālo na bujjhati,<br/>sehi kammehi dummedho, <b>aggidaḍḍho</b>'va tappati.														aggidaḍḍh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aggidaḍḍha"">feedback</a>"
aggisikhā 1	p	fem	comp						flame; lit. crest of fire					aggi + sikhā	agniśikhā					DHP 308	nirayavaggo	seyyo ayoguḷo bhutto, tatto <b>aggisikhā</b>-upamo,<br/>yañ'ce bhuñjeyya dussīlo, raṭṭhapiṇḍam'asaññato.														aggisikh	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aggisikhā 1"">feedback</a>"
aggihutta	p	nt	comp						fire sacrifice; fire oblation					aggi + hutta	agnihotra					DHP 392	brāhmaṇavaggo	yamhā dhammaṃ vijāneyya, sammāsambuddhadesitaṃ,<br/>sakkaccaṃ taṃ namasseyya, <b>aggihuttaṃ</b>'va brāhmaṇo.														aggihutt	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aggihutta"">feedback</a>"
aggiṃ paricarati	p	idiom	masc + pr						attends the sacred fire; worships the sacrificial fire						agni + paricarati					DHP 107	sahassavaggo	yo ca vassasataṃ jantu, <b>aggiṃ</b> <b>paricare</b> vane,<br/>ekañ'ca bhāvit'attānaṃ, muhuttam'api pūjaye,<br/>sā'y'eva pūjanā seyyo, yañ'ce vassasataṃ hutaṃ.														!	aggi paricarati	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aggiṃ paricarati"">feedback</a>"
agghati 1	p	pr					trans	+acc	is worth; has the value (of)			√aggh 1 a (to be worth)	√aggh + a > aggha	aggha + ti	arghati	√argh				DHP 70	bālavaggo	māse māse kus'aggena, bālo bhuñjeyya bhojanaṃ,<br/>na so saṅkhātadhammānaṃ, kalaṃ <b>agghati</b> soḷasiṃ.														aggh	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=agghati 1"">feedback</a>"
aṅkusaggaha	p	masc	agent, comp						mahout; elephant driver; lit. holding a hooked pole					aṅkusa + gaha	aṅkuśagraha					DHP 326	nāgavaggo	idaṃ pure cittam’acāri cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya <b>aṅkusaggaho</b>.														aṅkusaggah	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aṅkusaggaha"">feedback</a>"
aṅkusa 1	p	masc		añcati					hooked pole; hook for controlling and driving an elephant; a goad			√añc 1 a (to bend)		√añc > aṅk + usa	aṅkuśa	√añc √ac				DHP 326	nāgavaggo	idaṃ pure cittam’acāri cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya <b>aṅkusa</b>-ggaho.														aṅkus	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aṅkusa 1"">feedback</a>"
acaritvā	p	abs		carati	neg		trans	+acc	having not lived; having not led one’s life; lit. having not walked			√car 1 a (to move, walk)		na > a + √car + itvā	acaritvā	√car				DHP 155	jarāvaggo	<b>acaritvā</b> brahmacariyaṃ, aladdhā yobbane dhanaṃ,<br/>jiṇṇakoñcā'va jhāyanti, khīṇamacche'va pallale.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=acaritvā"">feedback</a>"
acāri	p	aor		cāreti			intrans		walked around; wandered around; roamed			√car 1 a (to move, walk)		a + √car + i	acārīt	√car				DHP 326	nāgavaggo	idaṃ pure cittam’<b>acāri</b> cārikaṃ, yen’icchakaṃ yatthakāmaṃ yathāsukhaṃ, tad’ajj’ahaṃ niggahessāmi yoniso, hatthi-ppabhinnaṃ viya aṅkusaggaho.														acār	i aor isuṃ	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=acāri"">feedback</a>"
accantadussīlya	p	nt	comp						extreme bad behaviour; extreme immorality					accanta + dussīlya	atyanta + duḥśīla					DHP 162	attavaggo	yassa <b>accantadussīlyaṃ</b>, māluvā sālam'iv'otthataṃ,<br/>karoti so tath'attānaṃ, yathā naṃ icchatī diso.														accantadussīly	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accantadussīlya"">feedback</a>"
accanta 2	p	adj	comp						extreme; severe; lit. beyond the limit					ati > aty > acc + anta	atyanta					DHP 162	attavaggo	yassa <b>accanta</b>-dussīlyaṃ, māluvā sālam'iv'otthataṃ,<br/>karoti so tath'attānaṃ, yathā naṃ icchatī diso.														accant	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accanta 2"">feedback</a>"
acchiddavutti	p	adj	comp						with flawless behaviour; with unbroken livelihood					acchidda + vutti	acchidra + vṛtti					DHP 229	kodhavaggo	yaṃ ce viññū pasaṃsanti,<br/>anuvicca suve suve,<br/><b>acchiddavuttiṃ</b> medhāviṃ,<br/>paññāsīlasamāhitaṃ.														acchiddavutt	i adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=acchiddavutti"">feedback</a>"
acchindi 1	p	aor		acchindati			trans	+acc	cut off; broken off; removed			√chid 2 ṃa (to cut, steal)	√chid + ṃa > chinda	ā + chinda + i	acchidat	√chid				DHP 351	taṇhāvaggo	niṭṭhaṅ’gato asantāsī, vītataṇho anaṅgaṇo, <br/><b>acchindi</b> bhavasallāni, antimo’yaṃ samussayo.														acchind	i aor	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=acchindi 1"">feedback</a>"
ajinasāṭi	p	fem	comp						hide garment; cloth of animal fur (commonly worn by ascetics)					ajina + sāṭi	ajina + śāṭi					DHP 394	brāhmaṇavaggo	kiṃ te jaṭāhi dummedha, kiṃ te <b>ajinasāṭiyā</b>, <br/>abbhantaraṃ te gahanaṃ, bāhiraṃ parimajjasī’ti.														ajinasāṭ	i fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajinasāṭi"">feedback</a>"
ajina 2	p	masc							hairy skin of an animal; animal hide; fur						ajina					DHP 394	brāhmaṇavaggo	kiṃ te jaṭāhi dummedha, kiṃ te <b>ajina</b>-sāṭiyā, <br/>abbhantaraṃ te gahanaṃ, bāhiraṃ parimajjasī’ti.														ajin	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajina 2"">feedback</a>"
ajini	p	aor		jināti, jayati			trans	+acc	overpowered; defeated			√ji 5 nā (to conquer)	√ji + nā > jinā	a + jinā + i	ajāyi	√ji				DHP 3	yamakavaggo	akkocchi maṃ avadhi maṃ, <b>ajini</b> maṃ ahāsi me.<br/>ye ca taṃ upanayhanti, veraṃ tesaṃ na sammati.														ajin	i aor	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajini"">feedback</a>"
ajjatana	p	adj		ajja					modern; related to today					ajja + tana	adyatana				ajjatanāṃ is nt acc sg, with metrically lengthened ā	DHP 227	kodhavaggo	porāṇam'etaṃ atula, n'etaṃ <b>ajjatanām</b>'iva,<br/>nindanti tuṇhim'āsīnaṃ, nindanti bahubhāṇinaṃ,<br/>mitabhāṇim'pi nindanti, n'atthi loke anindito.														ajjatan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjatana"">feedback</a>"
ajjhagā	ps	imperf		adhigacchati			trans	+acc	obtained; was experienced; attained; got			√gam 1 a (to go)		adhi + a + √gam + ā	adhigam	√gam			or aor reflx 3rd sd	DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ visaṅkhataṃ, <br/>visaṅkhāragataṃ cittaṃ, taṇhānaṃ khayam’<b>ajjhagā.</b>	SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	khayaṃ virāgaṃ amataṃ paṇītaṃ,  <br/>yad'<b>ajjhagā</b> sakya-munī samāhito. <br/>na tena dhammena sam’atthi kiñci,	Ratana-sutta		Protective Recitations							52n	!ajjhag	ā imperf	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjhagā"">feedback</a>"
ajjhattarata	p	adj	comp						with inner joy; happy within; finding delight inside					ajjhatta + rata	adhyātma + rata			(DHPa) ajjhattarato'ti gocar'ajjhattasaṅkhātāya kammaṭṭhānabhāvanāya rato.		DHP 362	bhikkhuvaggo	hattha-saṃyato pāda-saṃyato, vācā-saṃyato saṃyat'uttamo,<br/><b>ajjhattarato</b> samāhito, eko santusito tam'āhu bhikkhuṃ.														ajjhattarat	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjhattarata"">feedback</a>"
ajhāyanta	p	prp		jhāyati	neg		intrans		not meditating; not contemplating			√jhā 3 ya (to think, meditate)	√jhā + ya > jhāya	na > a + jhāya + nta<br/>na + jhāyanta	na + dhyāyam	√dhyai				DHP 372	bhikkhuvaggo	n’atthi jhānaṃ apaññassa, paññā n’atthi <b>a’jhāyato</b>, <br/>yamhi jhānañ’ca paññā ca, sa ve nibbāna-santike.														ajhāy	anta prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajhāyanta"">feedback</a>"
aññāya 1	pp	ger		ājānāti			trans	+acc	understanding; comprehending; knowing			√ñā 5 nā (to know)		ā + √ñā + ya	ājñāya	√jñā			see aññāya 2	DHP 275	maggavaggo	etañ'hi tumhe paṭipannā, dukkhass'antaṃ karissatha,<br/>akkhāto vo mayā maggo, <b>aññāya</b> sallakantanaṃ.	AN 3.68	kathāvatthusuttaṃ	sace c'assa kathākāmo, kālam'<b>aññāya</b> paṇḍito,<br/>dhammaṭṭhapaṭisaṃyuttā, yā ariyacaritā kathā.											-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aññāya 1"">feedback</a>"
aññāya 2	p	fem	instr sg	aññā					by gnosis; with spiritual insight; by enlightenment			√ñā 5 nā (to know)		ā + √ñā + ā + āya<br/>aññā + āya	ājñayā	√jñā			see aññāya 1	DHP 411	brāhmaṇavaggo	yass'ālayā na vijjanti, <b>aññāya</b> akathaṃkathī,<br/>amat'ogadham'anuppattaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.														!	aññā	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aññāya 2"">feedback</a>"
aññeva	p	sandhi	pron + ind						even others; even other people					aññe + eva	anyān + eva					DHP 355	taṇhāvaggo	hananti bhogā dummedhaṃ, no ca pāragavesino,<br/>bhogataṇhāya dummedho, hanti <b>aññ'eva</b> attanaṃ.														!	añña eva	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aññeva"">feedback</a>"
aṇumatta	ps	adj	comp						tiniest; smallest; lit. atom sized					aṇu + matta						DHP 284	maggavaggo	yāva hi vanatho na chijjati, <b>aṇumatto</b>'pi narassa nārisu,<br/>paṭibaddhamano'va tāva so, vaccho khīrapako'va mātari.	MN 107	gaṇakamoggallānasuttaṃ	‘ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkha-saṃvara-saṃvuto viharāhi ācāra-gocara-sampanno <b>aṇumattesu</b> vajjesu bhaya-dassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	aṇumatt	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aṇumatta"">feedback</a>"
