bhikkhupātimokkhapāḷi	pos	grammar	+case	tamil	meaning	lit. meaning	root	rt gp	sign	base	construction	compound type	compound construction	abbrev	source	sentence	aṭṭhakathā	feedback
pubbakiccaṃ	noun	nt nom sg of pubbakicca, comp			preliminary duty	what should be done before					pubba + kicca	kammadhāraya	pubba + kicca	NI	nidānuddeso	kiṃ saṅghassa <b>pubbakiccaṃ</b>?		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pubbakiccaṃ"">feedback</a>"
- pubba	adj				before, preliminary, preceding									NI	nidānuddeso	kiṃ saṅghassa <b>pubba</b>kiccaṃ?		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- pubba"">feedback</a>"
- kiccaṃ	noun	nt nom sg of kicca, ptp of karoti			duty, obligation	should be done	√kar (do, make)	7	o		√kar + tya			NI	nidānuddeso	kiṃ saṅghassa pubba<b>kiccaṃ</b>?		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- kiccaṃ"">feedback</a>"
pārisuddhiṃ	noun	fem acc sg of pārisuddhi			complete purity, innocence		√sudh (be pure)	3	ya		pari + √sudh + ta + *i			NI	nidānuddeso	<b>pārisuddhiṃ</b> āyasmanto ārocetha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pārisuddhiṃ"">feedback</a>"
āyasmanto	noun	masc voc pl of āyasmantu			venerables	having long life					āyus + mantu			NI	nidānuddeso	pārisuddhiṃ <b>āyasmanto</b> ārocetha		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āyasmanto"">feedback</a>"
ārocetha	verb	imp 2nd pl of āroceti	+acc		you all must state, announce, declare		√ruc (shine, approve)	8	*e	√ruc + *e > roce	ā + roce + ti			NI	nidānuddeso	pārisuddhiṃ āyasmanto <b>ārocetha</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=ārocetha"">feedback</a>"
uddisissāmi	verb	fut 1st sg of uddisati	+acc		I will recite	I will point up	√dis (point out, explain)	1	a	√dis + a > disa	ud + disa + ti			NI	nidānuddeso	pātimokkhaṃ <b>uddisissāmi</b>, taṃ sabb'eva santā sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=uddisissāmi"">feedback</a>"
taṃ	pron	masc acc sg of ta			that									NI	nidānuddeso	pātimokkhaṃ uddisissāmi, <b>taṃ</b> sabb'eva santā sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=taṃ"">feedback</a>"
sabbeva	comp	sandhi			one and all	just all					sabbe + eva			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ <b>sabb'eva</b> santā sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=sabbeva"">feedback</a>"
- sabbe	pron	masc nom pl of sabba			everybody, all									NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ <b>sabb</b>'eva santā sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sabbe"">feedback</a>"
- eva	ind				just, only									NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'<b>eva</b> santā sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- eva"">feedback</a>"
santā	prp	masc nom pl of santa, prp of atthi			present	being, existing	√as (be)	1	a	√as > sa	sa + nta			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva <b>santā</b> sādhukaṃ suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=santā"">feedback</a>"
sādhukaṃ	ind	adv			well, carefully, thoroughly						sādhu + ka + aṃ			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā <b>sādhukaṃ</b> suṇoma manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=sādhukaṃ"">feedback</a>"
suṇoma	verb	imp 1st pl of suṇoti	+acc		we must listen		√su (hear)	4	ṇo	√su + ṇo > suṇo	suṇo + ti			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ <b>suṇoma</b> manasi karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=suṇoma"">feedback</a>"
manasikaroma	comp verb	imp 1st pl of manasikaroti, comp verb			we must pay attention, keep in mind	we must make in mind					manasi + karoti	verbal comp	manasi + karoti	NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma <b>manasi karoma</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=manasikaroma"">feedback</a>"
- manasi	noun	masc loc sg of manas			in mind		√man (think)	3	ya		√man + as			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma <b>manasi</b> karoma.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- manasi"">feedback</a>"
- karoma	verb	imp 1st pl of karoti	+acc		we must make		√kar (do, make)	7	o	√kar + o > karo	karo + ti			NI	nidānuddeso	pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma manasi <b>karoma</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- karoma"">feedback</a>"
yassa	pron	masc dat sg of ya			for whoever									NI	nidānuddeso	<b>yassa</b> siyā āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=yassa"">feedback</a>"
siyā	verb	opt 3rd sg of atthi	+nom		there could be		√as (be)	1	a	√as + a > siya	siya + a			NI	nidānuddeso	yassa <b>siyā</b> āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=siyā"">feedback</a>"
āpatti	noun	fem nom sg, from āpajjati			offence, transgression, wrongdoing	go wrong	√pad (go, step)	3	ya		ā + √pad + ti			NI	nidānuddeso	yassa siyā <b>āpatti</b>, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āpatti"">feedback</a>"
yassa siyā āpatti	idiom				whoever has an offence	for whoever there may be offence								NI	nidānuddeso	<b>yassa siyā āpatti</b>, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=yassa siyā āpatti"">feedback</a>"
so	pron	masc nom sg of ta			he, that									NI	nidānuddeso	yassa siyā āpatti, <b>so</b> āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=so"">feedback</a>"
āvikareyya	verb	opt 3rd sg of āvikaroti, comp verb	+acc		he should openly reveal	he should make open					āvi + kareyya			NI	nidānuddeso	yassa siyā āpatti, so <b>āvikareyya</b>, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āvikareyya"">feedback</a>"
- āvi	ind	adv			open, full view, in plain sight									NI	nidānuddeso	yassa siyā āpatti, so <b>āvi</b>kareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- āvi"">feedback</a>"
- kareyya	verb	opt 3rd sg of karoti	+acc		he should do, make		√kar (do, make)	7	o	√kar + o > karo	karo + eyya			NI	nidānuddeso	yassa siyā āpatti, so āvi<b>kareyya</b>, asantiyā āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- kareyya"">feedback</a>"
asantiyā	prp	fem loc sg of santa, prp of atthi, neg			when there is no	when not being, existing	√as (be)	1	a	√as + a > sa	sa + nta			NI	nidānuddeso	yassa siyā āpatti, so āvikareyya, <b>asantiyā</b> āpattiyā tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=asantiyā"">feedback</a>"
āpattiyā	noun	fem loc sg of āpatti, from āpajjati			when offence, transgression, wrongdoing	when go wrong	√pad (go, step)	3	ya		ā + √pad + ti			NI	nidānuddeso	yassa siyā āpatti, so āvikareyya, asantiyā <b>āpattiyā</b> tuṇhī bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āpattiyā"">feedback</a>"
tuṇhī	ind				silent, silence, silently									NI	nidānuddeso	yassa siyā āpatti, so āvikareyya, asantiyā āpattiyā <b>tuṇhī</b> bhavitabbaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tuṇhī"">feedback</a>"
bhavitabbaṃ	ptp	nt nom sg of bhavitabba, ptp of bhavati			there should be	it should be	√bhū (be)	1	a	√bhū + a > bhava	bhava + itabba			NI	nidānuddeso	yassa siyā āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī <b>bhavitabbaṃ</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=bhavitabbaṃ"">feedback</a>"
tuṇhībhāvena	noun	masc instr sg of tuṇhībhāva, comp			because of the silence, due to silence	by state of silence					tuṇhī + bhāva	abyāyibhāva		NI	nidānuddeso	<b>tuṇhībhāvena</b> kho pan'āyasmante parisuddhā'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tuṇhībhāvena"">feedback</a>"
kho	ind	emph			truly, indeed, then									NI	nidānuddeso	tuṇhībhāvena <b>kho</b> pan'āyasmante parisuddhā'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=kho"">feedback</a>"
panāyasmante	comp	sandhi			and the venerables						pana + āyasmante			NI	nidānuddeso	tuṇhībhāvena kho <b>pan'āyasmante</b> parisuddhā'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=panāyasmante"">feedback</a>"
- pana	ind				then, now, so, but									NI	nidānuddeso	tuṇhībhāvena kho <b>pan'</b>āyasmante parisuddhā'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- pana"">feedback</a>"
- āyasmante	noun	masc acc pl of āyasmantu			venerables (object)	having long life					āyus + mantu			NI	nidānuddeso	tuṇhībhāvena kho pan'<b>āyasmante</b> parisuddhā'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- āyasmante"">feedback</a>"
- parisuddhā	adj	masc nom pl of parisuddha, pp of parisujjhati			pure, innocent	purified	√sudh (be pure)	3	ya		pari + √sudh + ta			NI	nidānuddeso	tuṇhībhāvena kho pan'āyasmante <b>parisuddhā</b>'ti vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- parisuddhā"">feedback</a>"
- iti	ind				“”	thus								NI	nidānuddeso	tuṇhībhāvena kho pan'āyasmante parisuddhā<b>'ti</b> vedissāmi.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- iti"">feedback</a>"
