pali,pos,meaning,root,constr.,pat.,cl.
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,"√sikkh 1 a (learn, train)",√sikkh > sekh + *a,a masc,2
soka,masc,grief; sorrow; sadness,√suc 1 *a (grieve),√suc > suk > sok + *a,a masc,2
vassa 2,masc,rainy season; monsoon,√vass 1 a (rain),√vass + a,a masc,2
vitakka 1,masc,thought; reflection; pondering,√takk 8 *e (think),vi + √takk + a,a masc,2
vinaya 1,masc,discipline; training,"√nī 1 a (lead, carry)",vi + √nī > nay + *a,a masc,2
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1 a (fall),vi + ni + √pat > pāt + *a,a masc,2
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,"√pac 1 a (cook, mature, ripen)",vi + √pac > pāk + *a,a masc,2
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 1 a (colour),vi + √raj > rag > rāg + *a,a masc,2
visesa 1,masc,distinction; attainment; superior state; eminence,"√sis 8 *e (remain, distinguish)",vi + √sis > ses + *a,a masc,2
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic 1 a (separate),vi + √vic > vec > vek + *a,a masc,2
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),"√sam 3 ya (be calm, tired)",vi + upa + √sam + a,a masc,2
hattha 1,masc,hand,,,a masc,2
adhigama 2,masc,attainment (of); achievement (of),√gam 1 a (go),adhi + √gam + a,a masc,2
