pali_1,pos,meaning_1,root,pattern,sbs_class
adinna 1.1,nt,which is not given; something not offered,√dā 1,a nt,11
adesayi,aor,taught; explained,√dis 2,i aor,14
addhāna 1,nt,long road; highroad; journey,,a nt,9
addhāna 2,nt,time; period; extent,,a nt,9
addhuva,adj,not stable; not enduring; not eternal,√dhuv,a adj,11
addhuvato,ind,as unstable; as unenduring; as not eternal,√dhuv,,13
adhamma 2,masc,false teaching; something opposed to the teaching,√dhar 1,a masc,5
adhigacchati,pr,gets to; attains; finds; acquires; obtains,√gam,ati pr,3
adhigata 1,pp,got; acquired; attained; achieved,√gam,a pp,11
adhicitta,nt,meditation; mental development; higher consciousness,√cit 1,a nt,9
adhiṭṭhahi 1,aor,fixed attention (on),√ṭhā,i aor,4
adhiṭṭhāna 2,nt,standpoint; prejudice; bias; preconception,√ṭhā,a nt,9
adhunā,ind,recently; now; presently; at this time,,,13
adho 1,ind,below; under,,,13
anagāriya,nt,homelessness; homeless state,,a nt,9
anaṅgaṇa,adj,spotless; blemish free,√añj 2,a adj,11
anañña,pron,not another; no other,,a pron,10
anatimānī,adj,who is not conceited; who is not arrogant; who is humble,√man,ī adj,5
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,,a adj,11
anattato,ind,as impersonal; as not oneself; as non-subjective,,,11
ananuyutta,pp,not devoted (to); not applying oneself (to); not practising,√yuj,a pp,11
ananuvajja,ptp,not blameworthy (for); praiseworthy (for); faultless (for),√vad 1,a ptp,14
anabhinanditvā,abs,having not approved (of); having not applauded,√nand,,8
anabhineti,pr,does not invite; does not conduct towards,√nī,eti pr,5
analasa,adj,active; energetic; industrious; not lazy,√las,a adj,11
anavajja 1,ptp,irreproachable; faultless; blameless; innocent,√vad 2,a ptp,14
anavasesa 1,adj,all; without exception,√sis,a adj,11
anāgata 1,pp,not come; not arrived; not present,√gam,a pp,11
anāgata 2,pp,future,√gam,a pp,11
anāgāmī,adj,who does not return; non-returning,√gam,ī adj,5
anātura,adj,healthy; free from suffering,√tur 1,a adj,11
anāpucchanta,prp,not asking permission; not informing,√pucch,anta prp,10
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,√lī 1,a masc,5
anāhāra,adj,without fuel; without nutriment,√har 2,a adj,11
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,,a adj,11
aniccato,ind,as impermanent; as unstable; as transient; as unreliable,,,11
aniccānupassī,adj,observing impermanence (of); watching instability (of),,ī adj,5
anibbisanta,prp,not understanding; not penetrating; not finding; not getting hold (of),√vis 1,anta prp,10
animitta 1,pp,signless; featureless; free of mental images,√mā,a pp,11
anissita 1,pp,detached (from); disengaged (from); separated (from); independent (of),√si 1,a pp,11
anuṭṭhita 1.1,pp,practised; established; (comm) repeatedly practised,√ṭhā,a pp,11
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),,a adj,11
anudhāvati 1,pr,runs along; sprints along,√dhāv 1,ati pr,3
anupagamma 1,ger,avoiding; not going near,√gam,,8
anuparivattiyamāna,prp,being revolved around; being rotated; being done routinely; being done regularly,√vatt,māna prp,13
anupalabbhamāna 1,prp,not being found; being nonexistent,√labh,māna prp,13
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1,ī adj,5
anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of),√ādā,,8
anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),√ādā,anta prp,10
anupubbena,ind,gradually; step-by-step; successively; stage-by-stage,,,13
anuppanna,pp,unborn; unarisen; not existing; nonexistent,√pad,a pp,11
anuyuñjati 2,pr,indulges (in); is addicted (to),√yuj,ati pr,3
anuyutta 1,pp,devoted (to); applied oneself (to); practised; doing,√yuj,a pp,11
anulometi 2,pr,regulates; settles; balances,,eti pr,3
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),√sī,a masc,2
anusāsanī,fem,advice; instruction; teaching,√sās,ī fem,8
anusāviyamāna,prp,being announced; being declared; being stated,√su 1,māna prp,14
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 2,ati pr,3
anussaranta,prp,remembering; recollecting; keeping in mind,√sar 2,anta prp,10
anussuka,adj,not zealously desiring; not ambitious; not anxiously striving; calm; relaxed; unagitated,,a adj,11
anuvattaka 3,masc,follower; partisan; who sides (with),√vatt,a masc,2
anuvattī,adj,following; acting according to; obedient to,√vatt,ī adj,5
anuviloketi,pr,looks around; surveys,√lok,eti pr,3
aneka,adj,many; various; countless,,eka adj,11
anoka 1,adj,homeless; without worldly attachment,√uc,a adj,11
anta 3,masc,end; side; extreme,,a masc,2
antamaso 1,ind,even so much as; even with; even down to; with as little as,,,13
antarāya,masc,obstacle (for); danger (for),,a masc,2
andha 1.2,adj,blind; sightless; visually impaired,,a adj,11
apagata 1,pp,without; free (from); with no,√gam,a pp,11
apaññatta 1,pp,,√ñā,a pp,14
apara 1,adj,another; after; further; next,,a adj,11
aparājita 1,pp,unconquered; undefeated; victorious; triumphant,√ji 1,a pp,11
aparāmaṭṭha,pp,irreproachable; untouchable; untarnished,√mas 1,a pp,11
aparikkamana,adj,not accessible; not approachable,√kam 1,a adj,11
aparitassanta,prp,being unperturbed; being unshaken,√tas 3,anta prp,13
aparimāṇa,adj,measureless; boundless,√mā,a adj,11
aparimita,pp,immeasurable; limitless,√mā,a pp,11
apariyādinna 1,pp,not used up; not exhausted; not consumed; not run out,√ādā,a pp,11
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,√hā 2,a nt,9
apassanta,prp,not seeing; not noticing; not aware,√dis 1,anta prp,10
apāya 1,masc,state of loss; state of misery,√i 1,a masc,2
api 1.1,ind,just; only,,,9
api 1.2,ind,even; even then,,,9
api 1.7,ind,too; also; as well,,,9
apucchi,aor,asked; enquired,√pucch,i aor isuṃ,4
appa 1,adj,few; not many; not much,,a adj,11
appaka 2,nt,few things; few people; small amount,,a nt,9
appaccakkhāya,ger,not giving up; not disavowing; not renouncing; not rejecting,√khā,,8
appaṭikkositvā,abs,having not disapproved; having not rejected,√kus 1,,8
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness,√mad,a masc,5
appavārita,pp,uninvited; not asked; unoffered,√var 2,a pp,11
abbhācikkhi,aor,misrepresented; slandered; falsely accused,√cikkh,i aor,4
abbhuggata,pp,arisen (about); spread (about); circulated (about),√gam,a pp,11
abbhuta 1,adj,marvellous; extraordinary; unbelievable; astonishing,,a adj,11
abbhetabba,ptp,(vinaya) should be rehabilitated; should be reintegrated; should be readmitted,√vhe,a ptp,14
abyatta,pp,inexperienced; incompetent; inept untrained,√añj 1,a pp,11
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,√pad,a masc,5
abyositatta,nt,fact of not being perfected; fact of not being accomplished,√sā,a nt,9
abhajitabba,ptp,should not be kept company with; should not be associated with; should not be adhered to; (comm) should not be stuck to,√bhaj 2,a ptp,14
abhaṇi,aor,spoke; recited,√bhaṇ,i aor,4
abhabba 1,ptp,unable (to); impossible (to); incapable (of); unlikely (to),√bhū,a ptp,14
abhāsi 1,aor,spoke; said,√bhā,i aor isuṃ,4
abhikkanta 3,pp,advanced; progressed; moved on; (comm) ending; depletion,√kam 1,a pp,11
abhikkantāya rattiyā,idiom,as the evening passed; as the night progressed,,,10
abhijjhā,fem,wishing; wanting; covetousness; greed,√jhā,ā fem,7
abhiññā 3,ger,directly knowing; understanding experientially,√ñā,,8
abhiṭhāna,nt,deadly sin; heinous crime; great wrong,√ṭhā,a nt,9
abhiṇhaṃ,ind,continuously; repeatedly; regularly; often,√ikkh,,13
abhitthavati,pr,,√thu 2,ati pr,3
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,√nand,i aor,4
abhinanditabba,ptp,should be delighted in; should be approved of; should be applauded,√nand,a ptp,14
abhininnāmeti 1,pr,inclines (towards); bends (towards); directs (towards),√nam,eti pr,14
abhinipajjituṃ,inf,to lie down (on); to lie (in),√pad,,9
abhinipphādeti,pr,produces; comes up with,√pad,eti pr,14
abhinisīdituṃ,inf,to sit down (in); to sit (on),√sad,,9
abhinivissa,ger,attaching; clinging; adhering; sticking,√vis 1,,8
abhippamodayanta,prp,gladdening; pleasing; satisfying,√mud,anta prp,14
abhibhū 1,masc,conqueror; victor; vanquisher; master (of),√bhū,ū masc,6
abhiramati,pr,enjoys; delights (in); takes pleasure (in),√ram 1,ati pr,3
abhisaṅkharoti 2,pr,does; performs,√kar,oti pr,3
abhisandeti,pr,fills up; fills to the brim; overflows,√sand,eti pr,14
abhisamaya,masc,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to),√i 1,a masc,2
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,√vaḍḍh,ati pr,3
abhivaditabba,ptp,should be welcomed; should be greeted,√vad 1,a ptp,14
abhūta 1,pp,not become; not happened,√bhū,a pp,11
abhūtena,ind,falsely; untruthfully,√bhū,,13
amanasikāra 1,masc,non-attention; ignoring,,a masc,2
amaritukāma,adj,not wishing to die,,a adj,9
amu,pron,(of person or place or thing) that; such; so and so,,amu pron,10
amutra,ind,there; in such-and-such a place,,,13
amha 1.1,pr,we are,√as 1,atthi pr,4
amhākaṃ 3,pron,our; of us,,ahaṃ pron,5
amhi,pr,I am,√as 1,atthi pr,4
arañña,nt,forest; wood; wild; wilderness,√ar,a nt,9
arahati 3,pr,should; ought (to); is suitable (for); it is befitting (for),√arah,ati pr,3
ariya 1,adj,noble; distinguished; of the Buddha,,a adj,11
aroga,adj,healthy; free from disease,√ruj,a adj,11
alaṃ 1,ind,(it is) suitable (to); proper (to); appropriate (to); worthy (for),,,9
alaṃ 2,ind,is able (to); is possible (to); is capable (of),,,9
alaṃ 3,ind,enough; it is enough (for),,,9
alaṃ 5,ind,that’s enough (of)!; stop (with)!,,,9
alika 1,nt,lie; falsehood; untruth,,a nt,9
asaṅkhata,pp,unconditioned; not created; unformed; unconstructed; epithet of Nibbāna; (comm) not made,√kar,a pp,11
asati 1.1,prp,when isn’t; when not existing,√as 1,anta prp,10
asanta 1.1,prp,untrue; false,√as 1,santa prp,10
asante,prp,when there isn’t; when not existing; when does not exist,√as 1,santa prp,10
asapatta,adj,peaceful; without hostility,√pat 2,a adj,11
asabala,adj,not spotted; not mottled; not patchy,,a adj,11
asamanupassanta,prp,not seeing; not perceiving,√dis 1,anta prp,10
asamaya 1,masc,wrong time; inopportune time; inappropriate occasion,√i 1,a masc,5
asambādha,adj,unobstructed; unhindered; unrestricted,√bādh,a adj,11
asammuṭṭha,pp,unmuddled; without confusion; not forgotten,√mus 1,a pp,11
asammosa,masc,not forgetting; non-confusion,√mus 1,a masc,5
asallīna,pp,active; not sluggish,√lī 1,a pp,11
asaṃvāsa 1,adj,(vinaya) expelled; excommunicated; unaffiliated; not part of the community,√vas 1,a adj,11
asāra,adj,essenceless; substanceless; worthless; useless,√sar 1,a adj,11
asārato,ind,as unessential; as insubstantial; as valueless; as essenceless,√sar 1,,11
asāraddha,pp,unagitated; unaroused; unexcited; calm,√rabh 2,a pp,11
asi 2.1,pr,you are,√as 1,atthi pr,4
asita 1.1,pp,eaten,√as 3,a pp,11
asita 1.2,nt,eating,√as 3,a nt,11
asubha 1,adj,ugly; disgusting; foul; unattractive,√subh,a adj,11
asura,masc,titan; anti-god; enemy of the devas,√sur,a masc,5
asesa,adj,complete; without remainder,√sis,a adj,11
asesaṃ,ind,completely; entirely; totally; without remnant,√sis,,13
asevitabba,ptp,should not be associated with; should not be affiliated with; should not be partaken of,√sev,a ptp,14
asoka 1,adj,sorrow-free; free from sadness,√suc 1,a adj,11
assa 3.1,opt,may be; could be; should be; would be,√as 1,ssa opt,7
assatha,opt,you all could be; you might be,√as 1,ssa opt,7
assasati,pr,inhales; breathes in,√sas 1,ati pr,3
assasanta,prp,inhaling; breathing in,√sas 1,anta prp,10
assasissati,fut,will breathe in; will inhale,√sas 1,ati pr,5
assavanatā,fem,fact of not hearing (of),√su 1,ā fem,7
assaṃ,opt,I could be; I might be; may I be; I could become,√as 1,ssa opt,7
assāma,opt,we could be; we may be; we might be; we should be,√as 1,ssa opt,7
assāmika 1,adj,without a paying benefactor; with no patron,,a adj,11
assu 3.1,opt,they should be; they may be; they would be; may they be,√as 1,ssa opt,7
assutavant,adj,unlearned; untaught; uninitiated; untrained,√su 1,ant adj,6
avakkhitta,pp,dropped; thrown down,√khip 1,a pp,11
avaṅkata,adj,,√vañc 1,a adj,11
avacanīya 1,ptp,incorrigible; uninstructible; unteachable; unadmonishable,√vac,a ptp,14
avañjha,adj,productive; profitable; successful,,a adj,11
avasissati,pr,remains; is left over,√sis,ati pr,13
avijjā,fem,ignorance; illusion; not knowing; not understanding,√vid 5,ā fem,7
avidūre,ind,near (to); not far (from),√dū,,13
avinīta,pp,badly trained (in); undisciplined (in); uneducated (about),√nī,a pp,11
avissajjetvā,abs,having not got rid (of); having not given up,√sajj 1,,14
avivadamāna,prp,not disputing; not quarrelling,√vad 1,māna prp,10
avera 1,adj,kind; friendly; peaceful; free of ill-will; without animosity,√vīr,a adj,11
ahaṃ,pron,I,,ahaṃ pron,5
ahosi,aor,was; existed; became,√hū,hosi aor,4
aṃsa 1.1,masc,share; portion; part,√aṃs,a masc,2
ākaṅkhati,pr,wishes (for); wants; desires; aspires (for),√kaṅkh 1,ati pr,3
ākaṅkhamāna,prp,wishing (for); desiring (for); seeking (for),√kaṅkh 1,māna prp,10
ākāra 1.2,masc,aspect; facet; detail; property; quality; attribute,√kar,a masc,2
ākāsa 2,masc,sky; air,√kās 1,a masc,2
āgaccheyya,opt,could come; would come along; could approach; would arrive,√gam,eyya opt,7
āgata 3,pp,come (from); arrived (from); returned (from),√gam,a pp,11
āgantar 2,masc,returner (to); who comes back (to),√gam,ar masc,6
āgamma 1,ger,coming (to); arriving (at); meeting (with),√gam,,8
āgāmī 1,adj,who returns; who comes back,√gam,ī adj,5
ācariya 1,masc,teacher; religious leader,√car 2,a masc,2
ājānāti 1,pr,knows; understands,√ñā,āti pr,3
ājīva,masc,livelihood; mode of living; way of life; way of earning a living,√jīv,a masc,2
ātappa,nt,effort; exertion,√tap,a nt,14
ātāpī,adj,avid; ardent; zealous; with continuous effort,√tap,ī adj,5
ādāya 4,ger,adopting; assuming; according (to),√ādā,,8
āditta,pp,blazing; burning; on fire,√dīp,a pp,11
ādiyati 1,pr,takes; grasps; embraces,√ādā,ati pr,3
ādiyamāna,prp,taking; grabbing; stealing,√ādā,māna prp,10
ādeti 1,pr,takes; grasps; gets; acquires,√ādā,eti pr,3
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",√nand,a masc,2
ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of),√saṃs 1,a masc,2
āpajjati 2,pr,arouses; exhibits; produces; brings into being,√pad,ati pr,3
āpajjati 5,pr,causes; effects,√pad,ati pr,3
āpajjanta 1,prp,arousing; exhibiting; producing; bringing into being,√pad,anta prp,10
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,√pad,i fem,8
ābādha 1,masc,disease; sickness; illness; affliction,√bādh,a masc,2
ābādhato,ind,as disease; as sickness; as illness; as affliction; as oppressive,√bādh,,11
ābādhika,adj,sick; ill,√bādh,a adj,11
ābhujitvā,abs,having bent; having folded,√bhuj 2,,8
āmantayati 1,pr,tells; informs; advises,√mant,ati pr,3
āmantāpetvā,abs,having sent (for); having had summoned,√mant,,14
āmantesi,aor,addressed; said (to); advised,√mant,esi aor,4
āyatiṃ,ind,in future,√yat 2,,6
āyasmant 1,masc,venerable; reverend,√i 1,ant masc,6
āyu 2,nt,life force; life energy,√i 1,u nt,9
āyoga 1,masc,devotion (to); practice (of); exertion (in); pursuit (of),√yuj,a masc,14
āraddha 1.1,pp,aroused; applied; undertaken,√rabh 1,a pp,11
ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to),√rabh 1,ati pr,3
ārādhayi 2,aor,pleased; satisfied,√rādh,i aor,14
ārāma 3,masc,park; parkland; nature reserve,√ram 1,a masc,2
ārogya 1,nt,health; wellness; freedom from disease,√ruj,a nt,9
ārocesi 1,aor,told (to); informed (to); explained (to),√ruc,esi aor,14
āloka,masc,light; brightness; clarity,√lok,a masc,2
āsana 1,nt,seat; chair,√ās,a nt,9
āsaya 2,masc,home (of); dwelling (of); abode (of),√sī,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 2,a masc,2
āsi 1.1,aor,was,√as 1,āsi aor irreg,4
āsiṃ,aor,I was,√as 1,āsi aor irreg,4
āsevita 1,pp,practised persistently,√sev,a pp,11
āsevitabba,ptp,should be practised; should be pursued; should be indulged in,√sev,a ptp,14
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1,a masc,2
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,√har 2,a masc,2
icchati 1.1,pr,wishes; wants; desires,√is,ati pr,3
iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for,√is,a pp,11
itara 2,pron,rest of,,a pron,10
iti,ind,thus; like this; this is; and so,,,13
ito 2,ind,(of place) from here; away from,,,13
itthatta 1,nt,present state of existence; earthly existence; such an existence,,a nt,9
itthī 1,fem,woman; female,,ī fem,8
idha 1,ind,here; now; in this world,,,8
idha 2,ind,here; in this regard; in this case,,,8
indriya 1,nt,sense; mental faculty; power,,a nt,9
ima 1.1,pron,this,,ima pron,10
imasmiṃ 2,pron,when this,,ima pron,10
iriyā 2,fem,conduct; behaviour; way of living,√īr 1,ā fem,7
isi,masc,seer; sage,,i masc,4
uggahīta,pp,grasped; held onto; raised up,√gah,a pp,11
uggahetvā 3,abs,having learned; having memorized,√gah,,8
uccāra,masc,excrement; faeces,√car 1,a masc,2
ucchijjati,pr,is destroyed; is annihilated,√chid,ati pr,13
uju 1,adj,straight; upright; erect,√uj,u adj,11
ujuṃ,ind,uprightly; erectly,√uj,,13
uñcha,masc,gleaning; food gathered for subsistence,√uñch,a masc,2
uṭṭhahati 1,pr,gets up; gets out; arouses oneself,√ṭhā,ati pr,3
uṭṭhāna 2,nt,effort; exertion; initiative; activity,√ṭhā,a nt,9
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),√ṭhā,,8
uttama 1,adj,best; highest; ultimate; supreme; top,,a adj,11
uttara 2.4,masc,name of a young Brahman,,a masc,2
uttari 1.2,ind,more (than); moreover; further (than); beyond,,,13
uttariṃ 2,ind,further; another; in addition,√tar 1,,13
udaka 1.1,nt,water,√ud,a nt,9
udapādi 1,aor,arose (for); sprung up (for),√pad,i aor,4
udapāna,masc,well; (comm) pond; pool,,a masc,2
uddisati 1,pr,recites; chants,√dis 2,ati pr,3
uddissa 1,ger,in the name of; on account of; for the sake of; especially for,√dis 2,,8
uddissamāna,prp,being recited; being chanted,√dis 2,māna prp,13
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,√dis 2,a masc,2
uddharati 1,pr,pulls up; pulls out; lifts up; raises,√dhar 1,ati pr,3
uddharati 2,pr,removes; takes away; packs up,√dhar 1,ati pr,3
uddharāpeti,pr,causes to remove; makes take away; causes to pack up,√dhar 1,eti pr,14
uddhaṃ 1,ind,above; up; on top,,,13
upakappati,pr,,√kapp 1,ati pr,3
upaghātī,adj,who injures; who harms,√ghaṭ 1,ī adj,5
upajjhāya,masc,preceptor; teacher; mentor,√i 2,a masc,2
upaṭṭhapetvā 1,abs,having set up; having made sure is present,√ṭhā,,14
upaṭṭhāna 1,nt,attending (to); waiting on; serving,√ṭhā,a nt,9
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has,√ṭhā,eti pr,14
upaṭṭhita 1,pp,present; in attendance,√ṭhā,a pp,11
upadisati,pr,points out; explains; shows; indicates,√dis 2,ati pr,3
upadduta,pp,afflicted (by); troubled (by); persecuted (by); oppressed (by); tyrannized (by),√du,a pp,11
upapajjati 1,pr,is reborn (in); re-arises (in),√pad,ati pr,3
upapajjamāna,prp,being reborn; re-arising,√pad,māna prp,10
upapajjeyya,opt,would be reborn (in); would re-arise (in),√pad,ati pr,7
upaya 1,masc,approach; engagement,√i 1,a masc,2
upari 1,ind,above; overhead,,,8
uparujjhati,pr,is stopped; is ended; is finished,√rudh 1,ati pr,13
upasaṅkamati,pr,approaches; goes (to); visits,√kam 1,ati pr,3
upasaṅkami,aor,approached; drew near; went (to),√kam 1,i aor,4
upasaṅkamitar 1,masc,visitor; guest,√kam 1,ar masc,6
upasaṅkamituṃ,inf,to approach; to visit; to go (to),√kam 1,,9
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),√kam 1,,8
upasanta 1,pp,calmed; cooled; composed; still; calm; at peace; tranquil,√sam 1,a pp,11
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),√sam 1,a masc,2
upasampajja 1,ger,reaching; attaining; arriving at,√pad,,8
upasampadā 2,fem,(vinaya) higher ordination as monastic,√pad,ā fem,7
upasussati,pr,dries up; withers; shrivels,√sus,ati pr,3
upassaya 1,masc,dwelling; shelter; home,√si 1,a masc,2
upavadati 1,pr,blames; criticizes; finds fault (with),√vad 1,ati pr,3
upahata 1,pp,injured; impaired; broken; deteriorated,√han,a pp,11
upādāna 2,nt,grasping; clinging; acquiring; appropriating; taking possession; identifying,√ādā,a nt,9
upādāya 2,ind,derived (from); dependent (on); based (on),√ādā,,13
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of),√ādā,ati pr,3
upādiyamāna,prp,grasping; holding (onto); clinging (to); taking possession (of),√ādā,māna prp,10
upāyāsa,masc,affliction; difficulty; trouble; despair,√yas,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās,a masc,2
upāsikā,fem,female disciple; laywomen; female devotee,√ās,ā fem,7
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding,√ikkh,aka adj,11
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,√ikkh,ā fem,7
upeti 2,pr,enters; gets involved (with); engages (in),√i 1,eti pr,3
uposatha 1,masc,full moon or new moon observance day,√vas 1,a masc,2
uppajjati 1,pr,appears; arises; takes place,√pad,ati pr,3
uppajjamāna,prp,arising; appearing; coming into being,√pad,māna prp,10
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for),√pad,ati pr,7
uppanna 1,pp,arisen; appeared; come into being,√pad,a pp,11
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),√pad,a masc,2
ulloketi,pr,looks up (at); gazes up (at),√lok,eti pr,3
ussuka,adj,zealously desiring; ambitious; anxiously striving; anxious; agitated; stressed,,a adj,11
ūna 2,nt,shortage; deficiency; lack; want; need,,a nt,9
eka 1,card,one (1),,eka card,12
eka 3,adj,alone; single; solitary,,eka adj,11
ekaka 1,adj,alone; solitary,,a adj,11
ekacca 1,pron,certain; one of,,ekacca pron,10
ekato 1,ind,on one side,,,8
ekādasa 1,card,eleven (11),,a1 card,12
eti 1,pr,comes (to),√i 1,eti pr 2,3
ettāvatā,ind,to this extent; to such a degree; so far,,,13
