pali_1,pos,meaning_1,root,pattern,sbs_class
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā,ati pr,3
thullaccaya,nt,(vinaya) heavy offence; grave transgression; class of serious offences,,a nt,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā,a masc,2
daṇḍa 1,masc,stick; truncheon; nightstick; club,,a masc,2
danta 1.1,masc,tooth,,a masc,2
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1,eti pr,3
deva 1,masc,deity; god,√div,a masc,2
dosa 1.1,masc,aversion; ill-will; hate; hatred,√dus 2,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,√dhar 1,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,√dhar 1,a masc,2
dhamma 1.05,masc,mental states,√dhar 1,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,√dhar 1,a masc,2
dhāreti 3,pr,bears in mind; keeps in mind; remembers,√dhar 2,eti pr,3
nara,masc,man; person,,a masc,2
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),√vid 3,ati pr,4
niraya,masc,hell; hell realm,√i 1,a masc,2
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 1,a masc,2
nisīdi,aor,sat (on); sat down (in),√sad,i aor isuṃ,4
nissaya 1,masc,dependency; physical support; reliance; something one depends on,√si 1,a masc,2
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,√var 1,a masc,2
pakkamati 1,pr,goes (from); goes away (from); leaves (from),√kam 1,ati pr,3
paggaṇhāti 2,pr,holds up; raises up,√gah,āti pr,3
paccassosi,aor,replied (to); agreed (with),√su 1,i aor,4
pajahati,pr,gives up; abandons; lets go (of),√hā 1,ati pr,3
paṭiggaṇhāti 1,pr,takes; accepts; receives,√gah,āti pr,3
paṭijānāti 3,pr,makes the claim (of); claims (to be),√ñā,āti pr,3
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),√sajj 1,a masc,2
paṭipajjati 2,pr,practices; follows a course of action; follows a method,√pad,ati pr,4
paṭibhāti,pr,comes to mind; occurs (to),√bhā,āti pr,3
paṭilabhati 1,pr,obtains; gets; receives; personally experiences,√labh,ati pr,3
paṭisaṃvedeti,pr,personally experiences; undergoes; feels,√vid 1,eti pr,3
paṭisevati 2,pr,uses; makes use (of),√sev,ati pr,3
patta 1.1,masc,bowl; alms bowl; begging bowl,√pā 1,a masc,2
patha 2,masc,range; mode; way,√path 1,a masc,2
papañca,masc,various opinions; proliferation; endless conceptualization,√pañc,a masc,2
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,√kar,a masc,2
parideva,masc,lamentation; wailing; crying,√dev,a masc,2
paribbājaka,masc,homeless spiritual seeker; wandering ascetic,√vaj,a masc,2
pariyāya 4,masc,way; nature; habit; property; quality,√i 1,a masc,2
passa 2.1,imp,see!; look (at)!,√dis 1,ati pr,3
passati 1,pr,sees,√dis 1,ati pr,3
pātimokkha 2,masc,(vinaya) precepts for Buddhist monastics,√mokkh,a masc,3
pāda 1,masc,foot,√pad,a masc,2
pāpuṇāti 1,pr,reaches; arrives (at); comes (to),√ap,āti pr,3
puggala,masc,person; individual,,a masc,2
pucchati,pr,asks; enquires; questions,√pucch,ati pr,3
putta 1,masc,son; child,,a masc,2
puthujjana,masc,common man; ordinary man; normal person; man in the street,,a masc,2
punabbhava,masc,appearing again; renewed existence; rebirth; future life,,a masc,3
phassa 1,masc,contact; sense impingement; raw experience; touch,√phus 1,a masc,2
bāla 2,masc,fool; idiot; immature person,,a masc east,2
buddha 1,masc,Buddha; Awakened One,√budh,a masc,2
bojjhaṅga 1,masc,element of awakening; factor of enlightenment,,a masc,2
byākāsi 1,aor,answered; replied,√kar,āsi aor,4
byādhi,masc,sickness; disease; illness,√dhā,i masc,4
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,√brah,a masc,2
brāhmaṇa 2,masc,arahant; awakened being; saint; paragon,√brah,a masc,2
bhaṇati 1,pr,speaks; says; tells,√bhaṇ,ati pr,3
bhava 2,masc,being; becoming; existence,√bhū,a masc,2
bhāsati 1.1,pr,speaks (about); talks (about),√bhās 1,ati pr,3
bhuñjati 1,pr,eats; consumes,√bhuj 1,ati pr,4
bheda 1,masc,death,√bhid,a masc,2
magga 2,masc,way; means; method,√magg,a masc,2
manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing,,a masc,2
manussa,masc,human being; man; person,,a masc,2
mallā,masc,name of the people of Malla; Mallans,,a masc pl,2
māṇava 1,masc,young man; young gentleman; young Brahman,,a masc,2
māra,masc,death; Death; death personified,√mar,a masc,2
māsa 2.1,masc,bean,,a masc,2
muni 1,masc,monk; sage; seer; hermit; silent sage,√mun,i masc,4
moha 1,masc,illusion; delusion; hallucination,√muh,a masc,2
rakkhati 1,pr,protects; guards; watches over,√rakkh,ati pr,3
rasa 1,masc,taste; flavour,√ras,a masc,2
rāga 1.1,masc,desire (for); passion (for); infatuation (with); lust (for),√raj 1,a masc,2
rāhula,masc,name of an arahant monk; Buddha's son,,a masc,2
rukkha 1,masc,tree,,a masc,2
labhati 1,pr,gets; receives; obtains,√labh,ati pr,3
loka 1,masc,world; universe; cosmos,√lok,a masc,2
loma 1,masc,body hair,,a masc,2
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,√kar,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,√kar,a masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,√ghaṭ 2,a masc,2
saṅghādisesa 2,masc,offence requiring suspension,,a masc,2
satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness,,a masc,2
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse,√sam 2,a masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,√kam 1,a masc,2
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,√sam 1,a masc,2
samaya 1.1,masc,time; occasion,√i 1,a masc,2
samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure,√dhā,i masc,4
samudaya 1,masc,source; origination; appearance,√i 1,a masc,2
sambodha,masc,full awakening; perfect understanding; enlightenment,√budh,a masc,2
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),√mud,i aor,4
sahāya,masc,friend; companion; ally; fellow traveller,,a masc,2
saṃvattati,pr,leads (to); results (in); causes,√vatt,ati pr,3
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),√var 1,a masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),√var 1,a masc,2
sāriputta,masc,name of an arahant monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom,,a masc,2
sāli,masc,fine rice,,i masc,4
sāvaka,masc,disciple; pupil; follower,√su 1,a masc,2
sīha 1,masc,lion,,a masc,2
suṇāti 1,pr,hears,√su 1,āti pr,3
suṇātu,imp,one must listen!; it must hear!,√su 1,āti pr,3
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
soka,masc,grief; sorrow; sadness,√suc 1,a masc,2
sota 1.1,masc,stream; river; current,√su 2,a masc,2
vadati 1,pr,says (to); speaks (to); tells (to),√vad 1,ati pr,3
vassa 2,masc,rainy season; monsoon,√vass 1,a masc,2
vāṇija,masc,trader; dealer,,a masc,4
vitakka 1,masc,thought; reflection; pondering,√takk,a masc,2
vinaya 1,masc,discipline; training,√nī,a masc,2
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1,a masc,2
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,√pac,a masc,2
vibhaṅga 1,masc,analysis; classification; breakdown,√bhañj,a masc,3
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),√raj 1,a masc,2
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 2,a masc,2
visesa 1,masc,distinction; attainment; superior state; eminence,√sis,a masc,2
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic,a masc,2
viharati 1,pr,lives (in); dwells (in); stays (in),√har 3,ati pr,3
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),√sam 1,a masc,2
hattha 1,masc,hand,,a masc,2
hoti 1,pr,is; becomes,√hū,hoti pr,4
hotha,imp,may you all be!; I pray you all may be!,√hū,hoti pr,4
