pali_1,pos,meaning_1,root,pattern,sbs_class
āgaccheyya,opt,could come; would come along; could approach; would arrive,√gam,eyya opt,7
āgantar 2,masc,returner (to); who comes back (to),√gam,ar masc,6
āgamma 1,ger,coming (to); arriving (at); meeting (with),√gam,,8
āgāmī 1,adj,who returns; who comes back,√gam,ī adj,5
ācariya 1,masc,teacher; religious leader,√car 2,a masc,2
ājānāti 1,pr,knows; understands,√ñā,āti pr,3
ājīva,masc,livelihood; mode of living; way of life; way of earning a living,√jīv,a masc,2
ātāpī,adj,avid; ardent; zealous; with continuous effort,√tap,ī adj,5
ādāya 4,ger,adopting; assuming; according (to),√ādā,,8
ādiyamāna,prp,taking; grabbing; stealing,√ādā,māna prp,10
ādeti 1,pr,takes; grasps; gets; acquires,√ādā,eti pr,3
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",√nand,a masc,2
ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of),√saṃs 1,a masc,2
āpajjati 2,pr,arouses; exhibits; produces; brings into being,√pad,ati pr,3
āpajjati 5,pr,causes; effects,√pad,ati pr,3
āpajjanta 1,prp,arousing; exhibiting; producing; bringing into being,√pad,anta prp,10
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,√pad,i fem,8
ābādha 1,masc,disease; sickness; illness; affliction,√bādh,a masc,2
ābhujitvā,abs,having bent; having folded,√bhuj 2,,8
āmantayati 1,pr,tells; informs; advises,√mant,ati pr,3
āmantesi,aor,addressed; said (to); advised,√mant,esi aor,4
āyasmant 1,masc,venerable; reverend,√i 1,ant masc,6
āyu 2,nt,life force; life energy,√i 1,u nt,9
ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to),√rabh 1,ati pr,3
ārāma 3,masc,park; parkland; nature reserve,√ram 1,a masc,2
ārogya 1,nt,health; wellness; freedom from disease,√ruj,a nt,9
āloka,masc,light; brightness; clarity,√lok,a masc,2
āsana 1,nt,seat; chair,√ās,a nt,9
āsaya 2,masc,home (of); dwelling (of); abode (of),√sī,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 2,a masc,2
āsi 1.1,aor,was,√as 1,āsi aor irreg,4
āsiṃ,aor,I was,√as 1,āsi aor irreg,4
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1,a masc,2
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,√har 2,a masc,2
icchati 1.1,pr,wishes; wants; desires,√is,ati pr,3
itara 2,pron,rest of,,a pron,10
itthatta 1,nt,present state of existence; earthly existence; such an existence,,a nt,9
itthī 1,fem,woman; female,,ī fem,8
idha 2,ind,here; in this regard; in this case,,,8
indriya 1,nt,sense; mental faculty; power,,a nt,9
imasmiṃ 2,pron,when this,,ima pron,10
isi,masc,seer; sage,,i masc,4
uccāra,masc,excrement; faeces,√car 1,a masc,2
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),√ṭhā,,8
udapādi 1,aor,arose (for); sprung up (for),√pad,i aor,4
udapāna,masc,well; (comm) pond; pool,,a masc,2
uddisati 1,pr,recites; chants,√dis 2,ati pr,3
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,√dis 2,a masc,2
uddharati 2,pr,removes; takes away; packs up,√dhar 1,ati pr,3
upaghātī,adj,who injures; who harms,√ghaṭ 1,ī adj,5
upajjhāya,masc,preceptor; teacher; mentor,√i 2,a masc,2
upaṭṭhāna 1,nt,attending (to); waiting on; serving,√ṭhā,a nt,9
upadisati,pr,points out; explains; shows; indicates,√dis 2,ati pr,3
upapajjati 1,pr,is reborn (in); re-arises (in),√pad,ati pr,3
upapajjamāna,prp,being reborn; re-arising,√pad,māna prp,10
upapajjeyya,opt,would be reborn (in); would re-arise (in),√pad,ati pr,7
upari 1,ind,above; overhead,,,8
upasaṅkamati,pr,approaches; goes (to); visits,√kam 1,ati pr,3
upasaṅkami,aor,approached; drew near; went (to),√kam 1,i aor,4
upasaṅkamitar 1,masc,visitor; guest,√kam 1,ar masc,6
upasaṅkamituṃ,inf,to approach; to visit; to go (to),√kam 1,,9
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),√kam 1,,8
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),√sam 1,a masc,2
upasampajja 1,ger,reaching; attaining; arriving at,√pad,,8
upasampadā 2,fem,(vinaya) higher ordination as monastic,√pad,ā fem,7
upasussati,pr,dries up; withers; shrivels,√sus,ati pr,3
upassaya 1,masc,dwelling; shelter; home,√si 1,a masc,2
upavadati 1,pr,blames; criticizes; finds fault (with),√vad 1,ati pr,3
upādāna 2,nt,grasping; clinging; acquiring; appropriating; taking possession; identifying,√ādā,a nt,9
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of),√ādā,ati pr,3
upādiyamāna,prp,grasping; holding (onto); clinging (to); taking possession (of),√ādā,māna prp,10
upāyāsa,masc,affliction; difficulty; trouble; despair,√yas,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās,a masc,2
upāsikā,fem,female disciple; laywomen; female devotee,√ās,ā fem,7
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,√ikkh,ā fem,7
uposatha 1,masc,full moon or new moon observance day,√vas 1,a masc,2
uppajjati 1,pr,appears; arises; takes place,√pad,ati pr,3
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for),√pad,ati pr,7
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),√pad,a masc,2
ulloketi,pr,looks up (at); gazes up (at),√lok,eti pr,3
ūna 2,nt,shortage; deficiency; lack; want; need,,a nt,9
ekacca 1,pron,certain; one of,,ekacca pron,10
ekato 1,ind,on one side,,,8
ettha 1,ind,here; in this place; in this case; in this regard,,,8
ehi,imp,come!,√i 1,eti pr 2,4
oka 1.1,masc,home; abode,√uc,a masc,2
okirati,pr,sprinkles; scatters down (onto),√kir,ati pr,3
ogha 1,masc,(of water) flood; deluge; torrent,,a masc,2
ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside,√tapp 1,a nt,9
ottappī,adj,afraid of wrong; conscientious,√tapp 1,ī adj,5
obhāsati 1.1,pr,speaks coarsely (to); speaks suggestively (to); talks rudely (to); talks dirty (to),√bhās 1,ati pr,3
olokana,nt,looking (at); observing; checking,√lok,a nt,9
ovadati,pr,advises; instructs; admonishes,√vad 1,ati pr,3
ovāda,masc,advice; instruction encouragement; exhortation,√vad 1,a masc,2
kaṅkhituṃ,inf,to doubt; to be uncertain (about),√kaṅkh 2,,9
katama,pron,what?; which (of the many)?,,a pron,9
kati,pron,how many?,,kati pron pl,9
katvāna 1,abs,having done,√kar,,8
kathaṃ 1,ind,how?,,,9
kathā 1,fem,talk; speech; conversation; discussion,√kath,ā fem,7
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,√kapp 1,ati pr,3
karitvā 2,abs,having made,√kar,,8
karuṇā,fem,compassion; sympathy; kindness (towards unfortunate beings),,ā fem,7
kareyya 1,opt,could do; would do; could make,√kar,karoti pr,7
karoti 1,pr,does; acts; performs,√kar,karoti pr,3
karohi,imp,do!; make!,√kar,karoti pr,4
kalyāṇamitta 2,masc,excellent friend; good spiritual companion,,a masc,2
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for),√kal 2,,9
kassaka,masc,farmer; ploughman,√kass,a masc,2
kassapa 1,masc,name of the 1st previous Buddha,,a masc,2
kātuṃ 1,inf,to do; to perform,√kar,,9
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 2,a masc,2
kāya 1.1,masc,body; physical body; physical process,√ci 1,a masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,√ci 1,a masc,2
kāra 1,masc,deed; action; service,√kar,a masc,2
kāraka 2,masc,builder,√kar,a masc,2
kālena,ind,timely; at the right time; at an appropriate moment,√kal 1,,6
kiṃ 2,ind,how?; what?,,,9
kuṭi 1,fem,hut; simple monastic dwelling,√kuṭ 1,i fem,8
kuto 1,ind,from where?; where?,,,8
kula 1,nt,family; house; household; respectable family,√kul,a nt,9
kuhiṃ,ind,where?,,,8
kesa,masc,(head) hair,,a masc,2
kosalā,masc,name of the people of Kosala; Kosalans,,a masc pl,2
khaṇati,pr,digs; digs up; uproots,√khaṇ,ati pr,3
khaṇḍicca,nt,brokenness; (comm) broken teeth,√khaṇḍ,a nt,9
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,a masc,2
khandha 1,masc,mass; heap; pile; volume; aggregation,√khand,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,√khand,a masc,2
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),√khī,a masc,2
khādati,pr,chews; devours; eats,√khād,ati pr,3
khipi 1.1,aor,threw; tossed; hurled,√khip 1,i aor,4
khuddā 1,fem,hunger,√khud,ā fem,7
khemī,adj,at peace; safe; secure,√khi,ī adj,5
gaccha 1,imp,go!; begone!; away with you!,√gam,ati pr,4
gacchati 1,pr,goes; walks; moves; wanders around,√gam,ati pr,3
gacchanta,prp,going; walking; travelling,√gam,anta prp,10
gaccheyya,opt,could go; would move; would walk,√gam,ati pr,7
gaṇhati 1,pr,grabs hold (of); seizes; takes,√gah,ati pr,3
gantukāma,adj,wishing to go (to); wanting to go (to),,a adj,9
gantuṃ,inf,to go (to); to travel (to),√gam,,9
gandha 1,masc,smell; scent; odour,√ghā,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,a masc,2
gamanāya,nt,to go (to); for going to see; for visiting,√gam,a nt,9
gamissati,fut,will go,√gam,issati fut,5
gayā 1,fem,name of a village,,ā fem,7
garu 5,masc,respect; honour,√gar 1,u masc,6
gavesanta,prp,seeking; searching (for); looking (for),√gaves,anta prp,10
gavesī 1,adj,seeking; searching for; looking for,√gaves,ī adj,5
gaha 2,nt,house,√gah,a nt,9
gahapati,masc,householder; landowner,,i masc,4
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,√gah,,8
gahetvā 5,abs,having arrested; having taken prisoner,√gah,,8
gaḷanta,prp,flowing; dripping; trickling; oozing,√gal 1,anta prp,10
gāthā 1,fem,verse; poem; stanza,√gā,ā fem,7
gāma 1,masc,village; hamlet,,a masc,2
gāmaṇi,masc,chief; chieftain; headman; leader,,i masc,4
gāmī 2,adj,going; moving; who goes,√gam,ī adj,5
gāha 2.2,masc,hiding place,√gāh,a masc,2
gotama 1,masc,family name of the Buddha,,a masc,2
ghāna,nt,nose,√ghā,a nt,9
ca 2.1,ind,and; both,,,6
cakkhu 1,nt,eye,√cakkh,u nt,9
cakkhumant 2,masc,person with sight; who can see,√cakkh,ant masc,6
carati 1.1,pr,walks; wanders; goes around; travels; fares on,√car 1,ati pr,3
caramāna,prp,walking (in); walking about (in); wandering around (in); going around (in),√car 1,māna prp,10
carituṃ 1.2,inf,to walk (in); to wander (in),√car 1,,9
caritvā 1.1,abs,having walked; having wandered,√car 1,,8
cavamāna,prp,falling away; dying,√cu,māna prp,10
cāga 1,masc,giving up; relinquishing; abandoning,√caj,a masc,2
cāga 2,masc,generosity; sharing; liberality,√caj,a masc,2
citta 1.1,nt,mind; heart,√cit 1,a nt,9
cīvara,nt,robe; cloth; robe-cloth,,a nt,9
ceteti 2,pr,intends; wills (to),√cit 1,eti pr,3
cora,masc,thief; robber,√cur,a masc,2
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),√chand,a masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,√chand,a masc,2
chetvā 1,abs,having cut off; having severed; (comm) having killed,√chid,,8
jarā,fem,old age; ageing,√jar,ā fem,7
jahati 1,pr,gives up; leaves; abandons; deserts,√hā 1,ati pr,3
jāgaranta,prp,awake; staying awake; alert; watchful; lucid,√jāgar 1,anta prp,10
jānanta,prp,knowing; being aware (of),√ñā,anta prp,10
jānāti 1,pr,knows; understands,√ñā,āti pr,3
jāneyya,opt,should know; should understand; should find out,√ñā,āti pr,7
jināti 1,pr,conquers; overcomes; defeats,√ji 2,āti pr,3
jināti 2,pr,surpasses; beats; wins (over),√ji 2,āti pr,3
jivhā,fem,tongue,,ā fem,7
jīraṇatā,fem,old age; decrepitude; deterioration,√jīr,ā fem,7
jīrati,pr,ages; grows old; gets worn out; declines,√jīr,ati pr,3
jīvitukāma,adj,wishing to live; wanting to stay alive,,a adj,9
jegucchī 1,adj,who is disgusted (to); recoiling (from); who hates (to); who detests,√gup 1,ī adj,5
jhāna 2,nt,meditation; stage of meditation,√jhā,a nt,9
jhāyati 1.2,pr,meditates; contemplates,√jhā,ati pr,3
ñāti,masc,family; relative; kinsman,√ñā,i masc,4
ñāya,masc,way; means; method; system,√i 1,a masc,2
ṭīkā,fem,sub-commentary; commentary on a commentary,,ā fem,7
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity,√ṭhā,i fem,8
ḍeti,pr,flies; flies up,√ḍi 1,eti pr,3
taca 1,masc,(of a humna) skin,,a masc,2
taṇḍula 1,masc,dehusked rice; (comm) grain from grass,,a masc,2
taṇhā 1,fem,craving (for); wanting; desire (for),√tas 2,ā fem,7
tattha 1,ind,there; in that place,,,8
tattha 2,ind,in that regard; in that case; regarding that matter,,,8
tatra 1,ind,there; in that place,,,8
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,,a masc,2
tayā 1,pron,by you; with you,,tvaṃ pron,5
tasati 1.1,pr,is afraid (of); fears,√tas 1,ati pr,3
tasmiṃ samaye,idiom,then; on that occasion; at that time,,,10
tassa 3,pron,when he; when it,,ta pron,10
taṃ 2.1,pron,you (object),,tvaṃ pron,5
tārituṃ,inf,to cross; to cross over,√tar 1,,9
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,,,9
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā,ati pr,3
tiṭṭhanta 1,prp,standing (in); standing still,√ṭhā,anta prp,10
tila,nt,sesame seed,,a nt,9
tīra,nt,shore; riverbank; beach,√tir,a nt,9
tumhākaṃ 2,pron,for you all; to you all,,tvaṃ pron,5
tumhākaṃ 3,pron,of you all; yours,,tvaṃ pron,5
tumhe 1,pron,you all,,tvaṃ pron,5
tumhe 2,pron,(object) you all,,tvaṃ pron,5
tuvaṃ 1,pron,you,,tvaṃ pron,5
te 2.3,pron,for you; to you,,tvaṃ pron,5
te 2.4,pron,your; of you,,tvaṃ pron,5
tena 2,ind,thereby; because of that; on that account,,,9
tena 3,ind,there,,,9
tvaṃ 1,pron,you (subject),,tvaṃ pron,5
thullaccaya,nt,(vinaya) heavy offence; grave transgression; class of serious offences,,a nt,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā,a masc,2
daṇḍa 1,masc,stick; truncheon; nightstick; club,,a masc,2
dadāti,pr,gives (to); offers (to); donates (to),√dā 1,āti pr,3
danta 1.1,masc,tooth,,a masc,2
dassati 1.1,fut,will give (to),√dā 1,ssati fut,5
dassanāya 2,nt,in order to visit; for the purpose of seeing,√dis 1,a nt,9
dassī 2,adj,who sees; who knows; who perceives; who understands,√dis 1,ī adj,5
dava 1.1,masc,fun; joke; play; sport; pleasure,√dū,a masc,2
dātar 1,masc,giver; donor; bestower (of),√dā 1,ar masc,6
dāna 1.1,nt,giving; offering; charity; generosity,√dā 1,a nt,9
dāna 1.2,nt,,√dā 1,a nt,9
dāra,masc,wife,,a masc,2
dārikā,fem,girl; daughter,,ā fem,7
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,√dis 1,i fem,8
disā 1,fem,direction; cardinal point,√dis 2,ā fem,7
dukkaṭa 3,nt,class of vinaya offence; wrong-doing,√kar,a nt,9
dukkha 3,nt,discomfort; suffering; unease; unpleasantness; something unsatisfactory; trouble; a bummer; stress,√dukkh,a nt east,9
dubbalya,nt,weakness; lack of strength; feebleness; incapability,√bal,a nt,9
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1,eti pr,3
deva 1,masc,deity; god,√div,a masc,2
devatā,fem,deity; god,√div,ā fem,7
domanassa,nt,(mental) suffering; distress; dissatisfaction; dejection; depression; unhappiness; grief; negative state of mind,√man,a nt,9
dosa 1.1,masc,aversion; ill-will; hate; hatred,√dus 2,a masc,2
dhaja 1,masc,flag; banner,√dhaj,a masc,2
dhana 1,nt,wealth; riches; treasure,√dhan 1,a nt,9
dhamma 1.01,masc,nature; character,√dhar 1,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,√dhar 1,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,√dhar 1,a masc,2
dhamma 1.05,masc,mental states,√dhar 1,a masc,2
dhamma 1.06,masc,matter; thing; phenomena,√dhar 1,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,√dhar 1,a masc,2
dhamma 1.14,masc,act; practice,√dhar 1,a masc,2
dhammī 1,adj,righteous; religious; moral; related to the Dhamma,√dhar 1,ī adj,5
dhātu 1,fem,state; property; condition; element,√dhā,u fem,8
dhāreti 3,pr,bears in mind; keeps in mind; remembers,√dhar 2,eti pr,3
dhāressati,fut,will bear in mind; will keep in mind; will remembers,√dhar 2,eti pr,5
dhītar,fem,daughter,,ar fem,8
na sukaraṃ,idiom,it is not easy (to); it is not easy to make,,,9
na 1,ind,no; not; neither; nor,,,5
nakkhatta 1,nt,constellation; zodiac; celestial object,√nakkh,a nt,9
nakha 1,masc,fingernail; toenail,,a masc,2
natthi 1,pr,is not; it is not; there is not; there is no; there is nothing,√as 1,natthi pr,5
nanu,ind,surely?; but wouldn’t?; is it true?; wasn’t?,,,9
nappaṭikaṅkhati,pr,does not anticipate; does not expect; does not await; does not personally wish (for),√kaṅkh 1,ati pr,5
nara,masc,man; person,,a masc,2
nahāyati,pr,takes a bath; bathes; washes,√nhā,ati pr,3
nahāru,masc,tendon; sinew,√nah,u masc,6
nābhijānāti 1,pr,does not know; does not understand,√ñā,āti pr,5
nāma 5,nt,"mental objects of consciousness; mentality; mental factors of feeling, perception, intention, contact and attention",,a nt,9
nārī,fem,woman,,ī fem,8
nāsakkhi,aor,was unable (to); was incapable (of); was not possible (to),√sak,i aor issaṃ,5
nikkhipati 3,pr,keeps; stores; saves; sets aside; lays aside,√khip 1,ati pr,3
nidāna 1,nt,source; origin; foundation; cause; reason,√dā 3,a nt,9
niddisi 1,aor,indicated; pointed out; designated; appointed,√dis 2,i aor,4
nidhi 1,masc,treasure; trove; hoard,√dhā,i masc,4
nibbāna 2,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),√vid 3,ā fem,7
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),√vid 3,ati pr,3
nibbindituṃ,inf,to become dis-enchanted (with); to become disinterested (in); to be disillusioned (with); to lose interest (in),√vid 3,,9
niraya,masc,hell; hell realm,√i 1,a masc,5
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 1,a masc,2
nisajja,ger,sitting down,√sad,,8
nisajjā 1,fem,sitting; sitting down,√sad,ā fem,7
nisīdati,pr,sits (on); sits down (in),√sad,ati pr,3
nisīdi,aor,sat (on); sat down (in),√sad,i aor isuṃ,4
nissaya 1,masc,dependency; physical support; reliance; something one depends on,√si 1,a masc,2
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,√var 1,a masc,2
nu,ind,(adds a question mark) surely?; didn’t?; wouldn't?; which?,,,9
neti 1.1,pr,leads; carries away; takes away,√nī,eti pr,3
no 1.1,ind,no; not,,,5
no 1.3,ind,then; now; indeed,,,5
no 2.1,pron,us (object),,ahaṃ pron,5
no 2.3,pron,for us; to us,,ahaṃ pron,5
no 2.4,pron,our,,ahaṃ pron,5
pakkamati 1,pr,goes (from); goes away (from); leaves (from),√kam 1,ati pr,3
pakkamanta,prp,going away (from); leaving (from); departing (from),√kam 1,anta prp,10
pakkāmi 1,aor,left; set off (from); went away (from),√kam 1,i aor isuṃ,4
pakkhī,masc,bird,,ī masc,5
paggaṇhāti 2,pr,holds up; raises up,√gah,āti pr,3
paggaṇhāti 3,pr,applies effort; strives on; goes for it; endeavours,√gah,āti pr,3
paggahetvā 2,abs,having raised up; having lifted up,√gah,,8
