pali_1,pos,meaning_1,pattern,sbs_class
anattato,ind,as impersonal; as not oneself; as non-subjective,ind,11
bhayato,ind,as dangerous; as fearful,ind,11
uju 1,adj,straight; upright; erect,u-adj,11
bahu,adj,many; much; lots (of); a lot (of); great; large,u-adj,11
garu 3,adj,respected; esteemed; giving weight to,u-adj,11
ātāpī,adj,avid; ardent; zealous; with continuous effort; lit. burning,ī-adj,11
yasassī 1,adj,famous; renowned; illustrious; celebrated,ī-adj,11
viññū 1,adj,wise; intelligent; discerning; knowledgeable,ū-adj,11
dutiya 1,ordin,second (2nd),a-ordin,12
paṭhama 1,ordin,first (1st); prime,a-ordin,12
tatiya 1.1,ordin,third (3rd),a-ordin,12
aṭṭha 1.1,card,eight (8),a1-card,12
nava 2,card,nine (9),a1-card,12
pañca,card,five (5),a1-card,12
satta 1.1,card,seven (7),a1-card,12
cha 1.1,card,six (6),a1-card,12
dasa 1.1,card,ten (10),a1-card,12
sahassa 1,card,one thousand (1000),a2-card,12
sata 2.1,card,one hundred (100),a2-card,12
chaṭṭha,ordin,sixth (6th),aī-ordin,12
catuttha 1,ordin,fourth (4th),aī-ordin,12
aṭṭhama 1,ordin,eighth (8th),aī-ordin,12
pañcama,ordin,fifth (5th),aī-ordin,12
dasama 1,ordin,tenth (10th),aī-ordin,12
navama,ordin,ninth (9th),aī-ordin,12
catu,card,four (4),catu-card,12
dvi,card,two (2),dvi-card,12
eka 1,card,one (1),eka-card,12
caturāsīti,card,eighty four (84),i-card,12
ti 1,card,three (3),ti-card,12
pahīyati 1.1,pr,is abandoned; is given up,ati-pr,13
vuccati,pr,is said to be; is called,ati-pr,13
vijjati 1,pr,exists (in); is found (in); is present (in),ati-pr,13
paritassati,pr,is perturbed; is shaken; is agitated; is anguished,ati-pr,13
samādhiyati,pr,is calmed (for); becomes collected (for); becomes composed (for); becomes stable (for); lit. is placed together,ati-pr,13
muccati 1.1,pr,is free (from); becomes free (from); is released (from),ati-pr,13
jāyati 2,pr,arises (in); is produced (from),ati-pr,13
vinassati,pr,disappears; vanishes; perishes; is destroyed,ati-pr,13
paññāyati 1,pr,is clearly known; is evident; is perceived; there is,ati-pr,13
pavuccati,pr,is called; is named; is said to be,ati-pr,13
vimuccati,pr,is released (from); is free (from),ati-pr,13
virajjati 1,pr,becomes detached (from); loses interest (in); becomes dispassionate (towards); gets bored (with),ati-pr,13
nirujjhati,pr,dissolves; finishes; stops; ceases; vanishes,ati-pr,13
dissati 1,pr,is seen; is observed; is manifest,ati-pr,13
haññati 2,pr,is hurt; is killed; is destroyed,ati-pr,13
dissati 2,pr,seems; lit. is seen,ati-pr,13
parimuccati,pr,is completely freed (from); is totally liberated (from); escapes (from),ati-pr,13
khajjati 1,pr,is being eaten (by); is being nibbled (by); lit. is being chewed,ati-pr,13
chijjati 1,pr,is cut off; is severed,ati-pr,13
ñāyati 1,pr,is known; is evident; is perceived,ati-pr,13
parinibbāyati 1,pr,(of mental defilement) is completely quenched; is entirely emancipated; is completely cooled,ati-pr,13
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,ind,13
ciraṃ,ind,for a long time,ind,13
ito 2,ind,(of place) from here; away from; lit. from this,ind,13
kho,ind,indeed; surely; certainly; truly,ind,13
iti,ind,thus; like this; this is; and so,ind,13
santike 1,ind,to; in the presence (of); near (to); nearby; close (to); on the verge (of); lit. near,ind,13
dūre 2,ind,away (from); far away (from); distant (from),ind,13
bahiddhā 1,ind,externally; outwardly,ind,13
hi 1,ind,indeed; certainly; truly; definitely,ind,13
divasaṃ,ind,by day; during the day; for a day,ind,13
sādhukaṃ,ind,well; carefully; thoroughly; fully; completely,ind,13
ajjhattaṃ,ind,internally; inwardly; personally,ind,13
sayaṃ,ind,by one's own; oneself; one's own,ind,13
tathā,ind,so; thus; in such a way; likewise; similarly,ind,13
sace,ind,if,ind,13
sabbaso 1,ind,in every way; completely; altogether; lit. from all,ind,13
amutra,ind,there; in such-and-such a place,ind,13
yoniso,ind,properly; prudently; thoroughly; carefully; intelligently; lit. to the source,ind,13
pana,ind,moreover; and so; but; or; however,ind,13
pacchato 2,ind,behind; backwards; lit. from behind,ind,13
saccaṃ,ind,truly; really,ind,13
tiriyaṃ 1,ind,across,ind,13
adho 1,ind,below; under,ind,13
ce 1,ind,if,ind,13
puna,ind,again; once more,ind,13
kira 1,ind,really; truly; definitely,ind,13
avidūre,ind,near (to); not far (from),ind,13
antamaso 1,ind,even so much as; even with; even down to; with as little as,ind,13
sukhaṃ,ind,easily; comfortably; pleasantly; happily,ind,13
ṭhānaso 1,ind,on the spot; right there; immediately; lit. from the place,ind,13
uddhaṃ 1,ind,above; up; on top,ind,13
sammā 2,ind,perfectly; rightly; correctly; properly,ind,13
sammā 1,ind,completely; thoroughly; fully; totally,ind,13
eva 1,ind,only; just; merely; exclusively,ind,13
vitthārena 1,ind,in detail; in full; thoroughly,ind,13
vata 1.2,ind,certainly; surely; indeed,ind,13
yathā 1,ind,like; as; as per; according to; how; in whatever way,ind,13
ubhato,ind,both; on both sides (of); in both ways; dually; lit. from both,ind,13
sādhu 3,ind,it is good (for); it would be good (if),ind,13
dūrato,ind,from far away; from afar,ind,13
atha 1,ind,then; also; and so; after that,ind,13
atha 2,ind,but; rather; even,ind,13
aññathā 1,ind,differently; otherwise,ind,13
accayena 2,ind,after the death (of); after the passing (of); lit. with the passing,ind,13
yebhuyyena,ind,mostly; almost all; more or less; generally; largely; by and large; for the most part,ind,13
khajjamāna,prp,being eaten (by); being devoured (by); lit. being chewed,māna-prp,13
saṃvijjamāna,prp,existing (in); being found (in),māna-prp,13
paññatta 2,pp,(of a rule) formulated; prescribed; decreed; declared; lit. caused to know,a-pp,14
bhāvita 1,pp,cultivated; developed; lit. caused to be,a-pp,14
vacanīya 2,ptp,should be spoken (to); should be told (to); should be said (to); lit. to be said,a-ptp,14
pahātabba,ptp,should be given up (by); should be abandoned (by); lit. to be abandoned,a-ptp,14
veditabba 1,ptp,can be known (by); should be understood (by); lit. to be known,a-ptp,14
daṭṭhabba 1,ptp,should be seen; should be regarded as; should be understood; lit. to be seen,a-ptp,14
sikkhitabba,ptp,should be learned (by); should be practised (by); should be trained (by); lit. to be trained,a-ptp,14
bhāvetabba,ptp,should be cultivated; should be developed; lit. to be caused to be,a-ptp,14
sevitabba 2,ptp,should be practised; should be followed; should be undertaken; lit. to be served,a-ptp,14
karaṇīya 2,ptp,should be done; must be done; ought to be made; to be observed; lit. to be done,a-ptp,14
kātabba 2,ptp,should be made; lit. to be done,a-ptp,14
kāretabba 1,ptp,should be made; should be done; should be built; lit. to be caused to do,a-ptp,14
nissajjitabba,ptp,should be given up (to); to be handed over (to); should be relinquished (to); lit. to be abandoned,a-ptp,14
upaṭṭhapetvā 1,abs,having set up; having made sure is present; lit. having caused to stand near,abs,14
obhāsetvā,abs,having illuminated; lit. having caused to shine down,abs,14
ohāretvā,abs,having shaved; having shaved off; lit. having caused to carry down,abs,14
paṇāmetvā 2,abs,(of hands) having stretched out (in reverential salutation); lit. having caused to bend forward,abs,14
sandassetvā,abs,having instructed; having explained; lit. having caused to see,abs,14
samādapetvā,abs,having aroused; having encouraged; lit. having caused to take,abs,14
samuttejetvā,abs,having fired up; having enthused; lit. having made hot,abs,14
sampahaṃsetvā,abs,having delighted; having pleased; having thrilled; lit. having caused to elate,abs,14
sādiyati 1,pr,consents (to); accepts; agrees (to); permits; lit. causes to be tasted,ati-pr,14
ārocesi 1,aor,told (to); informed (to); explained (to); lit. caused to inform,esi-aor,14
samādapeti,pr,arouses; incites; instigates; encourages; lit. causes to take,eti-pr,14
māneti,pr,honour; reveres; hold in high esteem,eti-pr,14
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has; lit. causes to stand near,eti-pr,14
abhininnāmeti 1,pr,inclines (towards); bends (towards); directs (towards),eti-pr,14
parisodheti,pr,cleans (from); purifies (of),eti-pr,14
deseti 1,pr,preach (to); teaches (to); explains (to),eti-pr,14
kāreti 1,pr,makes one do; causes to make,eti-pr,14
kappeti 1,pr,prepares; arranges; forms; fashions; constructs,eti-pr,14
paññapeti 1,pr,teaches; preaches; proclaims; lit. causes to know,eti-pr,14
janeti,pr,generates; produces; lit. causes to be born,eti-pr,14
paripūreti 1,pr,fills up; fills out; lit. causes to fill,eti-pr,14
bhāveti,pr,cultivates; develops; lit. causes to become,eti-pr,14
sameti 2.2,pr,agrees (with); matches (with); fits (with); fits in (with),eti-pr,14
atikkāmeti 2,pr,exceeds; goes over; oversteps; lit. causes to go beyond,eti-pr,14
abhisandeti,pr,fills up; fills to the brim; overflows; lit. causes to overflow,eti-pr,14
kāreti 2,pr,performs; practices,eti-pr,14
kāreti 4,pr,builds; has constructed; lit. causes to build,eti-pr,14
pakāseti 2,pr,explains; illustrates; illuminates; reveals; teaches,eti-pr,14
paññāpeti 3,pr,is evident; lit. makes itself known,eti-pr,14
pabbājeti 1,pr,banishes (from); exiles (from); drives away (from); lit. causes to leave,eti-pr,14
parisandeti,pr,soaks; drenches; lit. makes flow around,eti-pr,14
pasāreti,pr,stretches out; straightens; extends; lit. causes to go forward,eti-pr,14
sameti 1.1,pr,calms down; settles; stills; makes subside; lit. causes to be calm,eti-pr,14
voropeti,pr,deprives (of); removes (from); cuts off (from); takes down (from),eti-pr,14
pamādi,aor,was careless (about); neglected; was negligent (with); was heedless (about),i-aor,14
desetuṃ,inf,to preach (to); to teach (to); to explain (to),inf,14
bhāvanā 1,fem,developing; cultivating; meditating; lit. causing to be,ā-fem,14
asma,masc,rock; stone,a2-masc,18
vāyas,masc,air; wind,as-masc,18
cetas,masc,mind; thought; intention,as-masc,18
rajas 2,masc,dust; dirt,as-masc,18
tejas 1,masc,flame; fire; heat,as-masc,18
āpas,masc,water; liquid,as-masc,18
manas,masc,mind; mental faculty; intellect,as-masc,18
rāja 1,masc,king; ruler,rāja-masc,18
vinaya 1,masc,discipline; training; lit. leading out,a-masc,2
vāda 4,masc,saying; mentioning,a-masc,2
cora,masc,thief; robber,a-masc,2
upāsaka,masc,lay disciple; lay devotee; lit. who sits near,a-masc,2
gotama,masc,family name of the Buddha; lit. of the Gotama clan,a-masc,2
pāṇa 3,masc,being; living being; lit. breath,a-masc,2
buddha 1,masc,Buddha; Awakened One,a-masc,2
bhava 3,masc,state of existence; form of becoming,a-masc,2
rāga 1,masc,desire (for); passion (for); infatuation (with); lust (for); lit. attachment,a-masc,2
manussa,masc,human being; man; person,a-masc,2
papañca,masc,various opinions; proliferation; endless conceptualization; lit. expanding; spreading,a-masc,2
saṅghādisesa 2,masc,offence requiring suspension; lit. offence requiring involvement of the community from start to finish,a-masc,2
paṭilābha,masc,obtaining (of); acquiring (of); gaining (of); personal acquisition (of),a-masc,2
gāma 1,masc,village; hamlet; lit. collection,a-masc,2
vāta 1,masc,wind,a-masc,2
attha 1.3,masc,purpose; use; function,a-masc,2
ākāsa 2,masc,sky; air,a-masc,2
āsaya 2,masc,home (of); dwelling (of); abode (of); lit. resting place,a-masc,2
dhamma 1.01,masc,nature; character,a-masc,2
samudaya 1,masc,source; arising; origin; appearance,a-masc,2
puggala,masc,person; individual,a-masc,2
māsa 1.1,masc,month,a-masc,2
dhamma 1.09,masc,law; case; rule,a-masc,2
ābādha,masc,disease; sickness; illness; affliction,a-masc,2
dosa 3,masc,defect; corruption; problem,a-masc,2
āloka,masc,light; brightness; clarity,a-masc,2
vassa 2,masc,rainy season; monsoon,a-masc,2
vaṇṇa 03,masc,appearance; complexion; lit. cover,a-masc,2
accaya 3,masc,fault; offence; transgression; lit. going beyond,a-masc,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk; lit. lasting,a-masc,2
cāga 2,masc,generosity; sharing; liberality,a-masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),a-masc,2
sara 2.1,masc,sound; voice; tone,a-masc,2
magga 1,masc,road; path; track; way,a-masc,2
rāhula,masc,name of a monk; Buddha's son,a-masc,2
putta 1,masc,son; child,a-masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,a-masc,2
ñāya,masc,method; system; means; way,a-masc,2
attha 3.1,masc,home; rest; shelter,a-masc,2
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,a-masc,2
khandha 3,masc,aggregate; combination; conglomeration,a-masc,2
loma 1,masc,body hair,a-masc,2
khandha 1,masc,mass; heap; pile; volume,a-masc,2
deva 4,masc,sky,a-masc,2
sūriya 1,masc,sun; lit. shining,a-masc,2
vaccha 1.1,masc,calf; yearling; young animal,a-masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates; lit. making together,a-masc,2
sāra 2,masc,core; essence; substance; value,a-masc,2
attha 1.1,masc,meaning; sense; significance,a-masc,2
sāriputta,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom; lit. son of Sāri,a-masc,2
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,a-masc,2
uposatha 1,masc,full moon or new moon observance day,a-masc,2
padesa 1,masc,place; location; region; area,a-masc,2
puthujjana,masc,common man; ordinary man; normal person; man in the street; lit. individual person,a-masc,2
kopa 1,masc,anger; wrath; rage; temper,a-masc,2
bhāva 1,masc,state; condition; characteristic; nature,a-masc,2
satta 2.1,masc,being; living being; creature,a-masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,a-masc,2
antarāya,masc,obstacle (for); danger (for); lit. coming in-between,a-masc,2
upasama,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),a-masc,2
bheda 2,masc,(vinaya) schism; split; breakup,a-masc,2
dhamma 1.06,masc,matter; thing; phenomena,a-masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,a-masc,2
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,a-masc,2
paccaya 1,masc,support; requisite; necessity,a-masc,2
piṇḍa 2,masc,bit of food; alms food,a-masc,2
patha 2,masc,range; mode; way,a-masc,2
ānanda 2,masc,"name of the Buddha's attendant; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service; lit. happiness",a-masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,a-masc,2
bhoga 1.1,masc,wealth; possessions; property; riches,a-masc,2
vasa 1.2,masc,control (over); authority (over); power (over); mastery (over),a-masc,2
daṇḍa 1,masc,stick; truncheon; nightstick; club,a-masc,2
abyāpāda,masc,goodwill; kindness; friendliness; benevolence; lit. not ill-will,a-masc,2
passāva,masc,urine,a-masc,2
uccāra,masc,excrement; faeces,a-masc,2
hattha 1,masc,hand,a-masc,2
niraya,masc,hell; hell realm; lit. no good fortune,a-masc,2
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,a-masc,2
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse; lit. who makes an effort; calm one,a-masc,2
vinipāta,masc,state of suffering; purgatory; underworld; lit. bad fall,a-masc,2
māna 1.1,masc,pride; conceit; egotism; superiority; comparing oneself,a-masc,2
kodha 1,masc,anger; wrath; rage; temper,a-masc,2
purisa 1,masc,man; person,a-masc,2
moghapurisa,masc,fool; worthless man; useless person; stupid person; lit. empty man,a-masc,2
bhava 2,masc,being; becoming; existence,a-masc,2
moha 1,masc,illusion; delusion; hallucination,a-masc,2
dosa 1,masc,aversion; ill-will; hate; hatred,a-masc,2
manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing; lit. making in mind,a-masc,2
attha 1.2,masc,benefit; profit; good; welfare; goal,a-masc,2
rasa 1,masc,taste; flavour,a-masc,2
paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for),a-masc,2
upāyāsa,masc,affliction; difficulty; trouble,a-masc,2
parideva,masc,lamentation; wailing; crying,a-masc,2
soka,masc,grief; sorrow; sadness,a-masc,2
nara,masc,man; person,a-masc,2
ācariya 1,masc,teacher; religious leader,a-masc,2
upajjhāya,masc,preceptor; teacher,a-masc,2
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),a-masc,2
sekha,masc,trainee; apprentice; learner: (comm) seven stages of a noble person before arahantship,a-masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,a-masc,2
āsava 2,masc,discharge; suppuration; outflow; effluent,a-masc,2
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,a-masc,2
nāga 2,masc,tusker; bull elephant,a-masc,2
loka 1,masc,world; universe; cosmos,a-masc,2
pallaṅka 2,masc,cross-legged sitting position; meditation posture,a-masc,2
