pali_1,pos,meaning_1,root,pattern,sbs_class
atthāya 1,masc,for the purpose (of); for the sake (of); for the benefit (of),√ar,a masc,9
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),√ar,a masc,9
atthi 1.1,pr,there is; there exists,√as 1,atthi pr,4
atthi 1.2,pr,there are; they are,√as 1,atthi pr,4
atha 1,ind,then; also; and so; after that,,,13
atha 2,ind,but; rather; even,,,13
adinna 1.1,nt,which is not given; something not offered,√dā 1,a nt,9
addhāna 1,nt,long road; highroad; journey,,a nt,9
addhāna 2,nt,time; period; extent,,a nt,9
adhamma 1,masc,misconduct; immoral behaviour; unjust means; cheating,√dhar 1,a masc,5
adhamma 2,masc,false teaching; something opposed to the teaching,√dhar 1,a masc,5
adhigacchati,pr,gets to; attains; finds; acquires; obtains,√gam,ati pr,3
adhigata 1,pp,got; acquired; attained; achieved,√gam,a pp,11
adho 1,ind,below; under,,,13
anagāriya,nt,homelessness; homeless state,,a nt,9
anaṅgaṇa,adj,spotless; blemish free,√añj 2,a adj,11
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,,a adj,11
anattato,ind,as impersonal; as not oneself; as non-subjective,,,11
anavajja 1,ptp,irreproachable; faultless; blameless; innocent,√vad 2,a ptp,11
anāgāmī,adj,who does not return; non-returning,√gam,ī adj,5
anāpucchanta,prp,not asking permission; not informing,√pucch,anta prp,10
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,√lī 1,a masc,2
anāsava 1,adj,free from the effluents; taint-less; undefiled,√su 2,a adj,11
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,,a adj,11
aniccato,ind,as impermanent; as unstable; as transient; as unreliable,,,11
aniccānupassī,adj,observing impermanence (of); watching instability (of),,ī adj,5
animitta 1,pp,signless; featureless; free of mental images,√mā,a pp,11
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),,a adj,11
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1,ī adj,5
anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of),√ādā,,8
anuppanna,pp,unborn; unarisen; not existing; nonexistent,√pad,a pp,11
anuyuñjati 2,pr,indulges (in); is addicted (to),√yuj,ati pr,4
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),√sī,a masc,2
anusāsanī,fem,advice; instruction; teaching,√sās,ī fem,8
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 2,ati pr,3
anussaranta,prp,remembering; recollecting; keeping in mind,√sar 2,anta prp,10
aneka,adj,many; various; countless,,eka adj,11
anta 2,masc,end (of); limit (of); finish (of); conclusion (of),,a masc,2
anta 3,masc,end; side; extreme,,a masc,2
antamaso 1,ind,even so much as; even with; even down to; with as little as,,,13
antarāya,masc,obstacle (for); danger (for),,a masc,2
apara 1,adj,another; after; further; next,,a adj,11
aparikkamana,adj,not accessible; not approachable,√kam 1,a adj,11
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,√hā 2,a nt,9
apassanta,prp,not seeing; not noticing; not aware,√dis 1,anta prp,10
apāya 1,masc,state of loss; state of misery,√i 1,a masc,2
api 1.1,ind,just; only,,,9
api 1.2,ind,even; even then,,,9
api 1.3,ind,if; even if,,,9
api 1.7,ind,too; also; as well,,,9
apucchi,aor,asked; enquired,√pucch,i aor isuṃ,4
appa 1,adj,few; not many; not much,,a adj,11
appaka 2,nt,few things; few people; small amount,,a nt,9
appaccaya 1.2,masc,indignation; outrage; bitterness,√i 1,a masc,5
appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to),√mad,a pp,11
appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless,√mā,a adj,11
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness,√mad,a masc,5
appiya 1,adj,not dear (to); unloved (by); disliked (by),√pī,a adj,11
abbhuta 1,adj,marvellous; extraordinary; unbelievable; astonishing,,a adj,11
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,√pad,a masc,2
abhabba 1,ptp,unable (to); impossible (to); incapable (of); unlikely (to),√bhū,a ptp,9
abhāsi 1,aor,spoke; said,√bhā,i aor isuṃ,4
abhikkanta 3,pp,advanced; progressed; moved on; (comm) ending; depletion,√kam 1,a pp,11
abhijjhā,fem,wishing; wanting; covetousness; greed,√jhā,ā fem,7
abhiññā 1,fem,direct knowledge; higher understanding; specialized knowledge,√ñā,ā fem,7
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,√nand,i aor,4
abhininnāmeti 1,pr,inclines (towards); bends (towards); directs (towards),√nam,eti pr,14
abhinivissa,ger,attaching; clinging; adhering; sticking,√vis 1,,8
abhibhū 1,masc,conqueror; victor; vanquisher; master (of),√bhū,ū masc,6
abhiramati,pr,enjoys; delights (in); takes pleasure (in),√ram 1,ati pr,3
abhisaṅkharoti 1,pr,creates; constructs; generates; forms; fabricates,√kar,oti pr,4
abhisaṅkharoti 2,pr,does; performs,√kar,oti pr,4
abhisandeti,pr,fills up; fills to the brim; overflows,√sand,eti pr,14
abhisamaya,masc,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to),√i 1,a masc,5
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,√vaḍḍh,ati pr,3
abhūta 1,pp,not become; not happened,√bhū,a pp,11
amata 1.1,nt,deathless state; immortality; epithet of Nibbāna,√mar,a nt,9
amanasikāra 1,masc,non-attention; ignoring,,a masc,2
amu,pron,(of person or place or thing) that; such; so and so,,amu pron,10
amutra,ind,there; in such-and-such a place,,,13
amha 1.1,pr,we are,√as 1,atthi pr,4
amhākaṃ 3,pron,our; of us,,ahaṃ pron,5
amhi,pr,I am,√as 1,atthi pr,4
arañña,nt,forest; wood; wild; wilderness,√ar,a nt,9
arahati 3,pr,should; ought (to); is suitable (for); it is befitting (for),√arah,ati pr,3
ariya 1,adj,noble; distinguished; of the Buddha,,a adj,11
aroga,adj,healthy; free from disease,√ruj,a adj,11
alaṃ 1,ind,(it is) suitable (to); proper (to); appropriate (to); worthy (for),,,9
alaṃ 2,ind,is able (to); is possible (to); is capable (of),,,9
alaṃ 3,ind,enough; it is enough (for),,,9
alaṃ 5,ind,that’s enough (of)!; stop (with)!,,,9
asammosa,masc,not forgetting; non-confusion,√mus 1,a masc,8
asi 2.1,pr,you are,√as 1,atthi pr,4
asura,masc,titan; anti-god; enemy of the devas,√sur,a masc,2
asma,masc,rock; stone,,a2 masc,18
assa 3.1,opt,may be; could be; should be; would be,√as 1,ssa opt,7
assasati,pr,inhales; breathes in,√sas 1,ati pr,3
assasissati,fut,will breathe in; will inhale,√sas 1,ati pr,5
assutavant,adj,unlearned; untaught; uninitiated; untrained,√su 1,ant adj,6
avicāra,adj,free from discursive thought,√car 1,a adj,11
avijjā,fem,ignorance; illusion; not knowing; not understanding,√vid 5,ā fem,7
avitakka,adj,free from thinking; without thought,√takk,a adj,11
avidūre,ind,near (to); not far (from),√dū,,13
avera 1,adj,kind; friendly; peaceful; free of ill-will; without animosity,√vīr,a adj,11
ahaṃ,pron,I,,ahaṃ pron,5
ahosi,aor,was; existed; became,√hū,hosi aor,4
ākaṅkhati,pr,wishes (for); wants; desires; aspires (for),√kaṅkh 1,ati pr,3
ākaṅkhamāna,prp,wishing (for); desiring (for); seeking (for),√kaṅkh 1,māna prp,10
ākāsa 2,masc,sky; air,√kās 1,a masc,2
āgaccheyya,opt,could come; would come along; could approach; would arrive,√gam,eyya opt,7
āgata 3,pp,come (from); arrived (from); returned (from),√gam,a pp,11
āgamma 1,ger,coming (to); arriving (at); meeting (with),√gam,,8
ācariya 1,masc,teacher; religious leader,√car 2,a masc,2
ājānāti 1,pr,knows; understands,√ñā,āti pr,3
ājīva,masc,livelihood; mode of living; way of life; way of earning a living,√jīv,a masc,5
ātappa,nt,effort; exertion,√tap,a nt,9
ātāpī,adj,avid; ardent; zealous; with continuous effort,√tap,ī adj,11
ādāya 1,ger,taking,√ādā,,8
ādāya 4,ger,adopting; assuming; according (to),√ādā,,8
ādiyati 1,pr,takes; grasps; embraces,√ādā,ati pr,4
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",√nand,a masc,2
ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of),√saṃs 1,a masc,2
āpajjati 2,pr,arouses; exhibits; produces; brings into being,√pad,ati pr,4
āpajjati 5,pr,causes; effects,√pad,ati pr,4
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,√pad,i fem,8
āpas,masc,water; liquid,√āp,as masc,18
ābādha 1,masc,disease; sickness; illness; affliction,√bādh,a masc,2
ābhujitvā,abs,having bent; having folded,√bhuj 2,,8
āmantesi,aor,addressed; said (to); advised,√mant,esi aor,4
āyatiṃ,ind,in future,√yat 2,,6
āyasmant 1,masc,venerable; reverend,√i 1,ant masc,6
āyu 2,nt,life force; life energy,√i 1,u nt,9
āraddha 1.1,pp,aroused; applied; undertaken,√rabh 1,a pp,11
ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to),√rabh 1,ati pr,3
ārāma 3,masc,park; parkland; nature reserve,√ram 1,a masc,2
ārocesi 1,aor,told (to); informed (to); explained (to),√ruc,esi aor,14
āloka,masc,light; brightness; clarity,√lok,a masc,2
āsana 1,nt,seat; chair,√ās,a nt,9
āsaya 2,masc,home (of); dwelling (of); abode (of),√sī,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 2,a masc,2
āsi 1.1,aor,was,√as 1,āsi aor irreg,4
āsiṃ,aor,I was,√as 1,āsi aor irreg,4
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1,a masc,2
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,√har 2,a masc,2
iccha,adj,wishing for; desiring; wanting,√is,a adj,11
icchati 1.1,pr,wishes; wants; desires,√is,ati pr,3
iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for,√is,a pp,11
iti,ind,thus; like this; this is; and so,,,13
ito 2,ind,(of place) from here; away from,,,13
itthatta 1,nt,present state of existence; earthly existence; such an existence,,a nt,9
itthī 1,fem,woman; female,,ī fem,8
iddhimant,masc,who has psychic powers; possessing supernatural ability,√idh,ant masc,6
idha 1,ind,here; now; in this world,,,8
idha 2,ind,here; in this regard; in this case,,,8
indriya 1,nt,sense; mental faculty; power,,a nt,9
ima 1.1,pron,this,,ima pron,10
isi,masc,seer; sage,,i masc,4
uccāra,masc,excrement; faeces,√car 1,a masc,2
uju 1,adj,straight; upright; erect,√uj,u adj,11
ujjhāyati,pr,finds fault; thinks badly of,√jhā,ati pr,4
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),√ṭhā,,8
uttama 1,adj,best; highest; ultimate; supreme; top,,a adj,11
uttara 2.1,adj,higher (than); superior (to),,a adj,11
udaka 1.1,nt,water,√ud,a nt,9
udapādi 1,aor,arose (for); sprung up (for),√pad,i aor,4
udapāna,masc,well; (comm) pond; pool,,a masc,2
uddisati 1,pr,recites; chants,√dis 2,ati pr,3
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,√dis 2,a masc,2
uddharati 1,pr,pulls up; pulls out; lifts up; raises,√dhar 1,ati pr,3
uddharati 2,pr,removes; takes away; packs up,√dhar 1,ati pr,3
uddhaṃ 1,ind,above; up; on top,,,13
upajjhāya,masc,preceptor; teacher; mentor,√i 2,a masc,2
upaṭṭhapetvā 1,abs,having set up; having made sure is present,√ṭhā,,14
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has,√ṭhā,eti pr,14
upaṭṭhita 1,pp,present; in attendance,√ṭhā,a pp,11
upapajjati 1,pr,is reborn (in); re-arises (in),√pad,ati pr,4
upapajjamāna,prp,being reborn; re-arising,√pad,māna prp,10
upapajjeyya,opt,would be reborn (in); would re-arise (in),√pad,ati pr,7
upari 1,ind,above; overhead,,,8
upasaṅkamati,pr,approaches; goes (to); visits,√kam 1,ati pr,3
upasaṅkami,aor,approached; drew near; went (to),√kam 1,i aor,4
upasaṅkamituṃ,inf,to approach; to visit; to go (to),√kam 1,,9
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),√kam 1,,8
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),√sam 1,a masc,2
upasampajja 1,ger,reaching; attaining; arriving at,√pad,,8
upasampadā 2,fem,(vinaya) higher ordination as monastic,√pad,ā fem,7
upādāna 2,nt,grasping; clinging; acquiring; appropriating; taking possession; identifying,√ādā,a nt,9
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of),√ādā,ati pr,4
upāyāsa,masc,affliction; difficulty; trouble; despair,√yas,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās,a masc,2
upāsikā,fem,female disciple; laywomen; female devotee,√ās,ā fem,7
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding,√ikkh,aka adj,11
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,√ikkh,ā fem,7
upeti 2,pr,enters; gets involved (with); engages (in),√i 1,eti pr,3
uposatha 1,masc,full moon or new moon observance day,√vas 1,a masc,2
uppajjati 1,pr,appears; arises; takes place,√pad,ati pr,4
uppajjamāna,prp,arising; appearing; coming into being,√pad,māna prp,10
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for),√pad,ati pr,7
uppanna 1,pp,arisen; appeared; come into being,√pad,a pp,11
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),√pad,a masc,2
ubhato,ind,both; on both sides (of); in both ways; dually,,,13
uḷāra 1,adj,excellent; lofty; high; noble,√ar,a adj,11
eka 1,card,one (1),,eka card,12
ekacca 1,pron,certain; one of,,ekacca pron,10
ekato 1,ind,on one side,,,8
eti 1,pr,comes (to),√i 1,eti pr 2,3
ettha 1,ind,here; in this place; in this case; in this regard,,,8
eva 1,ind,only; just; merely; exclusively,,,13
ehi,imp,come!,√i 1,eti pr 2,3
ogha 1,masc,(of water) flood; deluge; torrent,,a masc,2
ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside,√tapp 1,a nt,9
ottappī,adj,afraid of wrong; conscientious,√tapp 1,ī adj,5
odāta 1,pp,white,√dā 2,a pp,11
obhāsetvā,abs,having lit up; having illuminated,√bhās 2,,14
ovadati,pr,advises; instructs; admonishes,√vad 1,ati pr,3
ovāda,masc,advice; instruction encouragement; exhortation,√vad 1,a masc,8
ohāretvā,abs,having shaved; having shaved off,√har 1,,14
oḷārika 1,adj,coarse; gross; substantial; physical; material,√ar,a adj,11
oḷārika 2,adj,(of food) solid; heavy; substantial,√ar,a adj,11
kaṅkhati 1.1,pr,has doubt (about); is uncertain (about),√kaṅkh 2,ati pr,3
kaccāna,masc,family name,,a masc,2
kaṇha 1,adj,dark; black,,a adj,11
kata 1,pp,done; did; completed,√kar,a pp,11
kattar 1,masc,creator; maker,√kar,ar masc,6
katvā 2,abs,having made,√kar,,8
katvāna 1,abs,having done,√kar,,8
kathaṃ 1,ind,how?,,,9
kathā 1,fem,talk; speech; conversation; discussion,√kath,ā fem,7
kanta 1.1,pp,charming (to); pleasant (to); desirable; agreeable (to),√kam 2,a pp,11
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,√kapp 1,ati pr,3
kappeti 1,pr,prepares; arranges; forms; fashions; constructs,√kapp 1,eti pr,14
kammaniya,adj,ready; workable; suitable for use; functional,√kar,a adj,11
karaṇīya 2,ptp,should be done; must be done; ought to be made; to be observed,√kar,a ptp,14
karitvā 2,abs,having made,√kar,,8
kareyya 1,opt,could do; would do; could make,√kar,karoti pr,7
karoti 1,pr,does; acts; performs,√kar,karoti pr,4
karohi,imp,do!; make!,√kar,karoti pr,4
kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely,,aī adj,11
kalyāṇamitta 2,masc,excellent friend; good spiritual companion,,a masc,2
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for),√kal 2,,9
kassaka,masc,farmer; ploughman,√kass,a masc,4
kassapa 1,masc,name of the 1st previous Buddha,,a masc,2
kātabba 2,ptp,should be made,√kar,a ptp,14
kātuṃ 1,inf,to do; to perform,√kar,,9
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 2,a masc,2
kāya 1.1,masc,body; physical body; physical process,√ci 1,a masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,√ci 1,a masc,2
kāretabba 1,ptp,should be made,√kar,a ptp,14
kāreti 1,pr,makes one do; causes to make,√kar,eti pr,14
kāreti 2,pr,performs; practices,√kar,eti pr,14
kāreti 4,pr,builds; has constructed,√kar,eti pr,14
kāla 1.1,masc,time; occasion,√kal 1,a masc,2
kālena,ind,timely; at the right time; at an appropriate moment,√kal 1,,6
kāsāya 1,adj,organic brown; colour of Buddhist monks’ robes,,a adj,11
kittāvatā,ind,in what way?; to what extent?; in what respect?,,,9
kira 1,ind,really; truly; definitely,,,13
kiriyā 1,fem,act; action; activity; deed; performance,√kar,ā fem,7
kucchi 1,masc,stomach; belly,√kus 2,i masc,4
kuṭi 1,fem,hut; simple monastic dwelling,√kuṭ 1,i fem,8
kuto 1,ind,from where?; where?,,,8
kuto 3,ind,let alone; not to mention; what to say of,,,8
kupita,pp,indignant; angry; annoyed; outraged; offended,√kup,a pp,11
kumāra 2,masc,prince,√kumār,a masc,2
kula 1,nt,family; house; household; respectable family,√kul,a nt,9
kula 2,nt,supporter; supporting family,√kul,a nt,9
kusala 1,adj,healthy; beneficial; useful; good; wholesome,,a adj,11
kusala 4,nt,good; benefit; merit; good deed; doing good,,a nt,9
kesa,masc,(head) hair,,a masc,2
kevala 1,adj,all; whole lot; altogether; total; entire; complete,,a adj,11
kodha 1.1,masc,anger; wrath; rage; temper,√kudh,a masc,2
kopa 1,masc,anger; wrath; rage; temper,√kup,a masc,2
kosalā,masc,name of the people of Kosala; Kosalans,,a masc pl,2
khajjati 1,pr,is being eaten (by); is being nibbled (by),√khād,ati pr,13
khajjamāna,prp,being eaten (by); being devoured (by),√khād,māna prp,13
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,a masc,2
khandha 1,masc,mass; heap; pile; volume; aggregation,√khand,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,√khand,a masc,2
khama 2,adj,fit (for); capable (of); suitable (for),√kham,a adj,11
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),√khī,a masc,2
khādati,pr,chews; devours; eats,√khād,ati pr,3
khīṇa 1,pp,consumed; spent; finished; exhausted; slowly destroyed,√khī,a pp,11
khemī,adj,at peace; safe; secure,√khi,ī adj,6
kho,ind,indeed; surely; certainly; truly,,,13
gaccha 1,imp,go!; begone!; away with you!,√gam,ati pr,3
gacchati 1,pr,goes; walks; moves; wanders around,√gam,ati pr,3
gacchanta,prp,going; walking; travelling,√gam,anta prp,10
gaccheyya,opt,could go; would move; would walk,√gam,ati pr,7
gaṇhati 1,pr,grabs hold (of); seizes; takes,√gah,ati pr,3
gata 2,pp,become (a certain way); being in (some state); gone into (a state),√gam,a pp,11
gantuṃ,inf,to go (to); to travel (to),√gam,,9
gandha 1,masc,smell; scent; odour,√ghā,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,a masc,2
gamissati,fut,will go,√gam,issati fut,5
gambhīra 3,adj,profound; abstruse; hard to fathom,,a adj,11
garu 3,adj,respected; esteemed,√gar 1,u adj,11
garu 5,masc,respect; honour,√gar 1,u masc,6
gavesī 1,adj,seeking; searching for; looking for,√gaves,ī adj,5
gahapati,masc,householder; landowner,,i masc,4
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,√gah,,8
gahetvā 5,abs,having arrested; having taken prisoner,√gah,,8
gāthā 1,fem,verse; poem; stanza,√gā,ā fem,7
gāma 1,masc,village; hamlet,,a masc,2
gāmaṇi,masc,chief; chieftain; headman; leader,,i masc,4
gāha 2.2,masc,hiding place,√gāh,a masc,7
gotama 1,masc,family name of the Buddha,,a masc,2
ghāna,nt,nose,√ghā,a nt,9
ca 2.1,ind,and; both,,,6
cakka 1,nt,wheel,,a nt,9
cakkhu 1,nt,eye,√cakkh,u nt,9
cakkhumant 2,masc,person with sight; who can see,√cakkh,ant masc,6
catu,card,four (4),,catu card,12
catuttha 1,ordin,fourth (4th),,aī ordin,12
caturāsīti,card,eighty four (84),,i card,12
carati 1.1,pr,walks; wanders; goes around; travels; fares on,√car 1,ati pr,3
caramāna,prp,walking (in); walking about (in); wandering around (in); going around (in),√car 1,māna prp,10
carituṃ 1.2,inf,to walk (in); to wander (in),√car 1,,9
caritvā 1.1,abs,having walked; having wandered,√car 1,,8
cavamāna,prp,falling away; dying,√cu,māna prp,10
cāga 1,masc,giving up; relinquishing; abandoning,√caj,a masc,2
cāga 2,masc,generosity; sharing; liberality,√caj,a masc,2
citta 1.1,nt,mind; heart,√cit 1,a nt,9
cīvara,nt,robe; cloth; robe-cloth,,a nt,9
cuta 1.1,pp,passed away; died,√cu,a pp,11
ce 1,ind,if,,,13
cetas,masc,mind; thought; intention,√cit 1,as masc,18
ceteti 2,pr,intends; wills (to),√cit 1,eti pr,3
cora,masc,thief; robber,√cur,a masc,2
cha 2.1,card,six (6),,a1 card,12
chaṭṭha,ordin,sixth (6th),,aī ordin,12
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),√chand,a masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,√chand,a masc,2
chijjati 1,pr,is cut off; is severed,√chid,ati pr,13
chetvā 1,abs,having cut off; having severed; (comm) having killed,√chid,,8
janeti,pr,generates; produces,√jan,eti pr,14
jarā,fem,old age; ageing,√jar,ā fem,7
jahati 1,pr,gives up; leaves; abandons; deserts,√hā 1,ati pr,3
jānanta,prp,knowing; being aware (of),√ñā,anta prp,10
jānāti 1,pr,knows; understands,√ñā,āti pr,3
jāneyya,opt,should know; should understand; should find out,√ñā,āti pr,7
jāyati 2,pr,arises (in); is produced (from),√jan,ati pr,13
jivhā,fem,tongue,,ā fem,7
jīvita 1,nt,life; existence,√jīv,a nt,9
jīvita 2,nt,livelihood; lifestyle; way of life,√jīv,a nt,9
jhāna 2,nt,meditation; stage of meditation,√jhā,a nt,9
jhāyati 1.2,pr,meditates; contemplates,√jhā,ati pr,4
ñatvā,abs,having known; having found out; having understood,√ñā,,8
ñāṇa 2,nt,knowing (of); understanding (of); insight (into),√ñā,a nt,9
ñāti,masc,family; relative; kinsman,√ñā,i masc,4
ñāya,masc,way; means; method; system,√i 1,a masc,2
ñāyati 1,pr,is known; is evident; is perceived,√ñā,ati pr,13
ṭīkā,fem,sub-commentary; commentary on a commentary,,ā fem,7
ṭhassati,fut,will stand; will stay; will remain; will last,√ṭhā,ssati fut,5
ṭhāna 02,nt,reason; grounds; basis; cause,√ṭhā,a nt,9
ṭhānaso 1,ind,on the spot; right there; immediately,√ṭhā,,13
ṭhita 2,pp,stationary; stable; stabilised; motionless; immovable,√ṭhā,a pp,11
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity,√ṭhā,i fem,8
taca 1,masc,(of a humna) skin,,a masc,5
taṇhā 1,fem,craving (for); wanting; desire (for),√tas 2,ā fem,7
tatiya 1.1,ordin,third (3rd),,a ordin,12
tato 4,ind,therefore; thereupon; thereby; because of that; after that,,,8
tattha 1,ind,there; in that place,,,8
tattha 2,ind,in that regard; in that case; regarding that matter,,,8
tatra 1,ind,there; in that place,,,8
tatra 2,ind,in that case; in that regard; in this matter; in this connection,,,8
tathā,ind,so; thus; in such a way; likewise; similarly,,,13
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,,a masc,2
tapassī 1,masc,ascetic,√tap,ī masc,5
tayā 1,pron,by you; with you,,tvaṃ pron,5
taṃ 2.1,pron,you (object),,tvaṃ pron,5
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,,,9
ti 1,card,three (3),,ti card,12
tiṭṭhati 1,pr,stands,√ṭhā,ati pr,3
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā,ati pr,3
tiṭṭhanta 1,prp,standing (in); standing still,√ṭhā,anta prp,10
tiṭṭhanta 2,prp,lasting; remaining; persisting,√ṭhā,anta prp,10
tiṇa 1,nt,grass; straw,,a nt,9
tiriyaṃ 1,ind,across,√tir,,13
tīra,nt,shore; riverbank; beach,√tir,a nt,9
tumhākaṃ 2,pron,for you all; to you all,,tvaṃ pron,5
tumhākaṃ 3,pron,of you all; yours,,tvaṃ pron,5
tumhe 1,pron,you all,,tvaṃ pron,5
tumhe 2,pron,(object) you all,,tvaṃ pron,5
tuvaṃ 1,pron,you,,tvaṃ pron,5
te 2.3,pron,for you; to you,,tvaṃ pron,5
te 2.4,pron,your; of you,,tvaṃ pron,5
tejas 1,masc,flame; fire; heat,√tij 1,as masc,18
tvaṃ 1,pron,you (subject),,tvaṃ pron,5
thullaccaya,nt,(vinaya) heavy offence; grave transgression; class of serious offences,,a nt,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā,a masc,2
dakkha,adj,expert; skilled; able; adroit,√dakkh,a adj,11
dakkhiṇa 1,adj,right (hand side),√dakkh,a adj,11
daṭṭhabba 1,ptp,should be seen; should be regarded as; should be understood,√dis 1,a ptp,14
daṇḍa 1,masc,stick; truncheon; nightstick; club,,a masc,2
