user_id	id	pali_1	grammar	neg	verb	trans	plus_case	meaning_1	meaning_lit	ru_meaning	sanskrit	sanskrit_root	sanskrit_root_meaning	sanskrit_root_class	root	root_has_verb	root_group	root_sign	root_meaning	root_base	construction	derivative	suffix	phonetic	compound_type	compound_construction	sbs_source_1	sbs_sutta_1	sbs_example_1	link	sbs_audio	test	feedback
33741	51422	maya	adj, in comps, from miṇāti					made of; constructed by		сделанный из; произведенный; рожденный	maya	√mā	measure	2, 3, 4	√mā	･	5	nā	measure		√mā + ya	kita	ya				DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā mano<b>mayā</b>,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=maya&entry.1433863141=Parittas"">Fix it here</a>"
15636	25671	cakka 1	nt					wheel		колесо	cakra																DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br><b>cakkaṃ</b>'va vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=cakka 1&entry.1433863141=Parittas"">Fix it here</a>"
40275	42171	paduṭṭha 1	pp of padussati					bad; wicked; evil; corrupt	corrupted	плохой; нечистый; оскверненный; испорченный	praduṣṭa	√duṣ	spoil	4	√dus	･	3	ya	be angry, corrupt		pa + √dus + ta	kita	ta	st > ṭṭh			DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce <b>paduṭṭhena</b>,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paduṭṭha 1&entry.1433863141=Parittas"">Fix it here</a>"
47307	46841	pubbaṅgama 1	adj, comp				+loc	preceding (in); leading (in); first (in); as forerunner (of)	going before	идущий впереди; ведущий; направляющий	pūrva + gama										pubbaṃ + gama			ṃ > ṅ	alutta dutiyā tappurisa	pubb<b>aṃ</b> + gama	DHP 001	yamakavaggo	mano<b>pubbaṅ'gamā</b> dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pubbaṅgama 1&entry.1433863141=Parittas"">Fix it here</a>"
55645	64819	seṭṭha 1	adj, superl of siri				+gen	foremost; best (of); primary; most important; supreme		первый; главный; лучший; превосходный; лидирующий	śreṣṭha										?? siri + *ttha	taddhita	*ttha	sirī > seyya > seṭṭha			DHP 002	yamakavaggo	manopubbaṅ'gamā dhammā, mano<b>seṭṭhā</b> manomayā. <br>manasā ce pasannena, bhāsati vā karoti vā. <br>tato naṃ sukham'anveti, chāyā'va anapāyinī		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seṭṭha 1&entry.1433863141=Parittas"">Fix it here</a>"
16941	27607	chāyāva anapāyinī	idiom, fem + ind + adj					like a shadow that never leaves		как тень которая никогда не уходит	chāyā + iva + anapāyinī										chāyā + iva + anapāyinī						DHP 002	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce pasannena,<br>bhāsati vā karoti vā,<br>tato naṃ sukhamanveti,<br><b>chāyā'va</b> <b>anapāyinī</b>.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=chāyāva anapāyinī&entry.1433863141=Parittas"">Fix it here</a>"
47269	46820	pubba 1.2	adj, in comps					going before; been before		идущий впереди; который перед	pūrva, pūrvya																DHP 002	yamakavaggo	mano<b>pubbaṅ'</b>gamā dhammā, manoseṭṭhā manomayā. <br>manasā ce pasannena, bhāsati vā karoti vā. <br>tato naṃ sukham'anveti, chāyā'va anapāyinī		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pubba 1.2&entry.1433863141=Parittas"">Fix it here</a>"
18684	34630	dhamma 1.05	masc, normally pl dhammā, from dharati					mental states		состояние ума	dharma	√dhṛ	hold	1	√dhar	･	1	a	hold, carry, endure		√dhar + ma	kita	ma	r > m			DHP 002	yamakavaggo	manopubbaṅ'gamā <b>dhammā</b>,<br>manoseṭṭhā manomayā,<br>manasā ce pasannena,<br>bhāsati vā karoti vā,<br>tato naṃ sukhamanveti,<br>chāyā'va anapāyinī.		[sound:dhamma.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 1.05&entry.1433863141=Parittas"">Fix it here</a>"
22412	24416	gama	adj, from gacchati					going; able to go		идущий; способный идти	gama	√gam	go	1	√gam	･	1	a	go		√gam + a	kita	a				DHP 002	yamakavaggo	manopubbaṅ'<b>gamā</b> dhammā, manoseṭṭhā manomayā. <br>manasā ce pasannena, bhāsati vā karoti vā. <br>tato naṃ sukham'anveti, chāyā'va anapāyinī		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gama&entry.1433863141=Parittas"">Fix it here</a>"
43850	44593	pasanna 1	pp of pasīdati					bright; clear; pure	settled	очищенный; ясный	prasanna	√sad	sit	1, 6	√sad	･	1	a	sink, sit, settle		pa + √sad + na	kita	na	d > n			DHP 002	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce <b>pasannena</b>,<br>bhāsati vā karoti vā,<br>tato naṃ sukhamanveti,<br>chāyā'va anapāyinī.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasanna 1&entry.1433863141=Parittas"">Fix it here</a>"
5396	3716	anapāyī	adj, from na apeti	neg				never leaving; always following	not going away	никогда не покидающий; всегда следующий	anapāyin	√i	go	1, 2	√i	･	1	a	come, go		na > an + apa + √i > ay + *ī	kita	*ī	i > ay	kammadhāraya	na + apāyī	DHP 002	yamakavaggo	manopubbaṅ'gamā dhammā, manoseṭṭhā manomayā. <br>manasā ce pasannena, bhāsati vā karoti vā. <br>tato naṃ sukham'anveti, chāyā'va <b>anapāyinī</b>			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anapāyī&entry.1433863141=Parittas"">Fix it here</a>"
16937	27605	chāyā 1	fem					shade; shadow		тень	chāyā																DHP 002	yamakavaggo	manopubbaṅ'gamā dhammā, manoseṭṭhā manomayā. <br>manasā ce pasannena, bhāsati vā karoti vā. <br>tato naṃ sukham'anveti, <b>chāyā</b>'va anapāyinī			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=chāyā 1&entry.1433863141=Parittas"">Fix it here</a>"
62766	15727	upanayhati 1	pr			trans	+acc	resents; bears a grudge (towards); harbours enmity (towards)	binds onto	держит обиду; питает неприязнь	upanahyati	√nah	tie	4	√nah	･	3	ya	bind, arm	√nah + ya > nayha	upa + nayha + ti			hy > yh (metathesis)			DHP 003	yamakavaggo	akkocchi maṃ avadhi maṃ,<br>ajini maṃ ahāsi me,<br>ye ca taṃ <b>upanayhanti</b>,<br>veraṃ tesaṃ na sammati.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upanayhati 1&entry.1433863141=Parittas"">Fix it here</a>"
4040	321	akkocchi	aor of akkosati			trans	+acc	verbally abused		бранил; оскорбил	akrukṣat	√kruś	cry out	1	√kus	･	1	*a	call, insult	√kus + *a > kosa > koccha (irreg)	ā + koccha + i			āk > akk<br>u > o<br>kus > kocch (Kacc 498, 480)			DHP 003	yamakavaggo	<b>akkocchi</b> maṃ avadhi maṃ,<br>ajini maṃ ahāsi me,<br>ye ca taṃ upanayhanti,<br>veraṃ tesaṃ na sammati.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkocchi&entry.1433863141=Parittas"">Fix it here</a>"
3302	1207	ajini	aor of jināti			trans	+acc	overpowered; robbed; defeated		одолел; победил	ajāyi	√ji √jyā	conquer	9	√ji	･	5	nā	conquer	√ji + nā > jinā	a + jinā + i						DHP 003	yamakavaggo	akkocchi maṃ avadhi maṃ,<br><b>ajini</b> maṃ ahāsi me,<br>ye ca taṃ upanayhanti,<br>veraṃ tesaṃ na sammati.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajini&entry.1433863141=Parittas"">Fix it here</a>"
3064	10883	ahāsi 2.1	aor of harati			trans	+acc	robbed; stole; took		обокрал; украл; взял	ahārṣīt	√hṛ	take	1	√har	･	1	a	take, seize	√har + a > hara > hā (irreg)	a + hā + si						DHP 003	yamakavaggo	akkocchi maṃ avadhi maṃ,<br>ajini maṃ <b>ahāsi</b> me,<br>ye ca taṃ upanayhanti,<br>veraṃ tesaṃ na sammati.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ahāsi 2.1&entry.1433863141=Parittas"">Fix it here</a>"
11936	10293	avadhi 1.1	aor of vadhati			trans	+acc	beat; struck; hurt		бил; ударял; вредил	avadhīm	√vadh	slay	1, 5	√vadh	･	8	*e	hurt, slaughter		a + √vadh + i						DHP 003	yamakavaggo	akkocchi maṃ <b>avadhi</b> maṃ,<br>ajini maṃ ahāsi me,<br>ye ca taṃ upanayhanti,<br>veraṃ tesaṃ na sammati.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=avadhi 1.1&entry.1433863141=Parittas"">Fix it here</a>"
32780	52100	maṃ 1	pron, 1st acc sg of ahaṃ					me (object)		меня	ma, mām										amha + aṃ						DHP 003	yamakavaggo	akkocchi <b>maṃ</b> avadhi <b>maṃ</b>,<br>ajini <b>maṃ</b> ahāsi me,<br>ye ca taṃ upanayhanti,<br>veraṃ tesaṃ na sammati.		[sound:maṃ.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=maṃ 1&entry.1433863141=Parittas"">Fix it here</a>"
24634	13686	idha 1	ind, adv, from ima					here; now; in this world		здесь; сейчас; в этом мире	iha										ima + dha	taddhita	dha				DHP 005	yamakavaggo	na hi verena verāni,<br>sammant'<b>īdha</b> kudācanaṃ,<br>averena ca sammanti,<br>esa dhammo sanantano.		[sound:idha.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=idha 1&entry.1433863141=Parittas"">Fix it here</a>"
18686	34632	dhamma 1.07	masc, from dharati					truth; reality; principle; truth behind the teaching		истина; действительность; принцип	dharma	√dhṛ	hold	1	√dhar	･	1	a	hold, carry, endure		√dhar + ma	kita	ma	r > m			DHP 005	yamakavaggo	na hi verena verāni,<br>sammant'īdha kudācanaṃ,<br>averena ca sammanti,<br>esa <b>dhammo</b> sanantano.		[sound:dhamma.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 1.07&entry.1433863141=Parittas"">Fix it here</a>"
34705	35341	na hi	idiom, ind + ind	neg				certainly not		определенно не	na + hi																DHP 005	yamakavaggo	<b>na hi</b> verena verāni,<br>sammant'īdha kudācanaṃ,<br>averena ca sammanti,<br>esa dhammo sanantano.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=na hi&entry.1433863141=Parittas"">Fix it here</a>"
34714	35331	na kudācanaṃ	idiom, ind + adv	neg				never	not at any time	никогда	na + kadā + cana										na + ka > ku + dā + canaṃ			a > u			DHP 005	yamakavaggo	<b>na</b> hi verena verāni,<br>sammant'īdha <b>kudācanaṃ</b>,<br>averena ca sammanti,<br>esa dhammo sanantano.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=na kudācanaṃ&entry.1433863141=Parittas"">Fix it here</a>"
53011	58129	sanantana	adj, from sanaṃ					eternal; perpetual; everlasting; ancient		первозданный; извечный; древний	sanātana										sanaṃ + tana	taddhita	tana	ṃ > n			DHP 005	yamakavaggo	na hi verena verāni,<br>sammant'īdha kudācanaṃ,<br>averena ca sammanti,<br>esa dhammo <b>sanantano</b>.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sanantana&entry.1433863141=Parittas"">Fix it here</a>"
12394	10789	avera 2	nt, abstr, from na vera	neg				kindness; friendliness	not hatred	доброта; дружелюбие	na + vaira	√vīr	be powerful	10	√vīr	×	8	*e	be heroic, hostile		na > a + √vīr > ver + *a	kita	*a	ī > e	kammadhāraya	na + vera	DHP 005	yamakavaggo	na hi verena verāni,<br>sammant'īdha kudācanaṃ,<br><b>averena</b> ca sammanti,<br>esa dhammo sanantano.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=avera 2&entry.1433863141=Parittas"">Fix it here</a>"
24295	71212	hi 1	ind, emph					indeed; certainly; truly; definitely		действительно; несомненно	hi																DHP 005	yamakavaggo	na <b>hi</b> verena verāni,<br>sammant'īdha kudācanaṃ,<br>averena ca sammanti,<br>esa dhammo sanantano.		[sound:hi.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hi 1&entry.1433863141=Parittas"">Fix it here</a>"
21828	18006	esa	pron, masc nom sg of eta					this; he; it		он; этот	etaḥ, etam																DHP 005	yamakavaggo	na hi verena verāni,<br>sammant'īdha kudācanaṃ,<br>averena ca sammanti,<br><b>esa</b> dhammo sanantano.		[sound:esa.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=esa&entry.1433863141=Parittas"">Fix it here</a>"
51901	60719	sammati 1.1	pr		pass	intrans		is calmed; is cooled; is appeased		становится умиротворенным; успокаивается	śamyate	√śam	be quiet	4	√sam	･	3	ya	be calm, tired	√sam + ya > samma (pass)	samma + ti			y > m			DHP 005	yamakavaggo	na hi verena verāni, <b>sammant</b>'īdha kudācanaṃ. <br>averena ca <b>sammanti</b>, esa dhammo sanantano.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sammati 1.1&entry.1433863141=Parittas"">Fix it here</a>"
33752	51427	mayaṃ	pron, 1st nom pl of ahaṃ					we; I (royal plural)		мы	vayam																DHP 006	yamakavaggo	pare ca na vijānanti,<br><b>mayam</b>'ettha yamāmase,<br>ye ca tattha vijānanti,<br>tato sammanti medhagā.		[sound:mayaṃ.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mayaṃ&entry.1433863141=Parittas"">Fix it here</a>"
42071	42854	para 1	pron					other; another (person)		другой; иной; следующий	para																DHP 006	yamakavaggo	<b>pare</b> ca na vijānanti,<br>mayam'ettha yamāmase,<br>ye ca tattha vijānanti,<br>tato sammanti medhagā.		[sound:para.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=para 1&entry.1433863141=Parittas"">Fix it here</a>"
42417	44403	pare 3	pron, masc nom pl of para					others; other people		другие; другие люди	parāḥ										para + e						DHP 006	yamakavaggo	<b>pare</b> ca na vijānanti, mayam'ettha yamāmase,<br>ye ca tattha vijānanti, tato sammanti medhagā.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pare 3&entry.1433863141=Parittas"">Fix it here</a>"
59273	29562	tato 4	ind, abl sg of ta					therefore; thereupon; thereby; because of that; after that	from that	по этой причине; вследствие того; с помощью этого	tatas										ta + to	taddhita	to				DHP 006	yamakavaggo	pare ca na vijānanti,<br>mayam'ettha yamāmase,<br>ye ca tattha vijānanti,<br><b>tato</b> sammanti medhagā.		[sound:tato.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tato 4&entry.1433863141=Parittas"">Fix it here</a>"
