ID	Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	Tags
41676	paṇṇākāra	masc	comp						donation; present					paṇṇa + ākāra	parṇa + ākāra				(PED) object of writing; that which is connected or sent with a letter, a special message, donation, present, gift							Thai		ime sakkāre duggata-<b>paṇṇ’ākāra</b>-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṇṇākāra&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
44755	paṭiggaṇhāti 1	pr					trans	+acc	takes; accepts; receives			√gah 6 ṇhā (to grasp, take)	√gah + ṇhā > gaṇhā	pati + gaṇhā + tu	pratigṛhṇāti	√grah √gṛbh √gṛh	paṭigaṇhāti			DN 14.14	mahāpadānasuttaṃ	seyyathā’pi nāma suddhaṃ vatthaṃ apagatakāḷakaṃ samma’d’eva rajanaṃ <b>paṭiggaṇheyya</b>				Thai		ime sakkāre duggata-paṇṇ’ākāra-bhūte <b>paṭiggaṇhātu</b> amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	VIN PAT NP 10	rājasikkhāpadaṃ	so ce dūto taṃ bhikkhuṃ upasaṅkamitvā evaṃ vadeyya, idaṃ kho, bhante, āyasmantaṃ uddissa cīvaracetāpannaṃ ābhataṃ, <b>paṭiggaṇhātu</b> āyasmā cīvaracetāpannan'ti.				01n	55	[sound:paṭiggaṇhāti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṭiggaṇhāti 1&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
50301	sakkāra	masc		sakkaroti					honour; accolade; respect; praise; lit. proper action			√kar 7 o (to do, make)		sat + √kar > kār + *a	satkāra	√kṛ				SN 6.12	devadattasuttaṃ	phalaṃ ve kadaliṃ hanti, phalaṃ veḷuṃ phalaṃ naḷaṃ.<br/><b>sakkāro</b> kāpurisaṃ hanti, gabbho assatariṃ yathā”ti.				Thai		imehi <b>sakkārehi</b> yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sakkāra&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
9705	āropita 1	pp		āropeti		caus			placed; prepared; put on top;  lit. mounted			√ruh 1 *e (to ascend, grow)	√ruh + *e > rohe > rope (caus)	ā + rope + ita	āropita	√ruh				SN 20.2	nakhasikhasuttaṃ	taṃ kiṃ maññatha bhikkhave, katamaṃ nu kho bahutaraṃ, yo v’āyaṃ mayā paritto nakhasikhāyaṃ paṃsu <b>āropito</b> ayaṃ vā mahāpathavī’ti?				Thai		imehi sakkārehi yath’ārahaṃ <b>āropitehi</b> abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āropita 1&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
69661	yassa 2	pron	masc & nt gen sg	ya					of whoever; of whichever; of that which; who's					ya + assa	yena					DHP 093	arahantavaggo	yass’āsavā parikkhīṇā, āhāre ca anissito, suññato animitto ca, <br/>vimokkho <b>yassa</b> gocaro, ākāse va sakuntānaṃ, padaṃ tassa durannayaṃ.				Thai		supaṭipanno <b>yassa</b> bhagavato sāvakasaṅgho	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	phuṭṭhassa lokadhammehi, cittaṃ<b> yassa </b>na kampati.<br/>asokaṃ virajaṃ khemaṃ, etaṃ maṅgalam’uttamaṃ. 	Maṅgala-sutta	The Highest Blessings	Protective Recitations	01n	55	[sound:yassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yassa 2&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā Maṅgala-sutta
35255	namati 2	pr					trans	+acc	bends; bows down			√nam 1 a (to bend)	√nam + a > nama	nama + ti	namati	√nam				SNP 44	jarāsuttaṃ<br/>aṭṭhakavaggo 6	maraṇena'pi taṃ pahīyati, yaṃ puriso mam'idan'ti maññati,<br/>etam'pi viditvā paṇḍito, na mamattāya <b>nametha</b> māmako.				Thai		supaṭipanno bhagavato sāvakasaṅgho saṅghaṃ <b>namāmi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namati 2&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
69969	yena 1	pron	masc instr sg	ya					by which; with whichever					ya + ena	yena					SNP 61	upasīva māṇava pucchā<br/>pārāyanavaggo 6	atthaṅ'gatassa na pamāṇam'atthi, <b>yena</b> naṃ vajjuṃ taṃ tassa n'atthi,<br/>sabbesu dhammesu samohatesu, samūhatā vādapathā'pi sabbe'ti.				Thai		svākkhāto <b>yena</b> bhagavatā dhammo	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:yena.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yena 1&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
35243	namassati	pr					trans	+acc	worships; venerates; honours; pays respect			√namass 1 a (to bow, worship)	√namass + a > namassa	namassa + ti	namasyati	√namasya				SN 7.15	mānatthaddhasuttaṃ	arahante sītībhūte, katakicce anāsave nihacca mānaṃ athaddho, te <b>namasse</b> anuttare”ti.				Thai		svākkhāto bhagavatā dhammo, dhammaṃ <b>namassāmi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namassati&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
38358	no 6	pron	1st dat pl	ahaṃ					for us; to us						naḥ					SN 3.4	piyasuttaṃ	kiñ’c’āpi te evaṃ vadeyyuṃ — ‘piyo <b>no</b> attā’ti, atha kho tesaṃ appiyo attā. taṃ kissa hetu? yañ’hi appiyo appiyassa kareyya, taṃ te attanā’va attano karonti; tasmā tesaṃ appiyo attā.				Thai		sādhu <b>no</b> bhante bhagavā sucira-parinibbuto’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	SNP 31	māghasuttaṃ,<br/>mahāvaggo 5	tuvañ'hi <b>no</b> brahmasamo'si saccaṃ,<br/>kathaṃ upapajjati brahmalokaṃ jutima.				01n	55	[sound:no.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=no 6&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
56938	sucira	ind	adv, in comps						after a very long time; eventually					su + cira	sucira											Thai		sādhu no bhante bhagavā <b>sucira</b>-parinibbuto’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucira&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
71097	suciraparinibbuta	pp	comp						after a long time attained liberation; eventually completely extinguished; (or) attained final Nibbāna long ago					sucira + parinibbuta												Thai		sādhu no bhante bhagavā <b>suciraparinibbuto</b>’pi<b> </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suciraparinibbuta&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
8784	api 5	ind							although; but; however; yet						api					AN 3.81	cūḷanikāsuttaṃ	<b>api</b> ca, udāyi, ānando diṭṭh'eva dhamme parinibbāyissatī'ti				Thai		sādhu no bhante bhagavā sucira-parinibbuto’<b>pi </b>pacchimā-janat’ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:api.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=api 5&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
25379	janatā	fem		jana					the people; folk			√jan 3 ya (to be born, produce)		√jan + a + tā	janatā	√jan				SN 6.1	brahmāyācanasuttaṃ	sele yathā pabbatam'uddhaniṭṭhito, yathā'pi passe <b>janataṃ</b> samantato,<br/>tath'ūpamaṃ dhammamayaṃ sumedha, pāsādamāruyha samantacakkhu.				Thai		sādhu no bhante bhagavā sucira-parinibbuto’pi pacchimā-<b>janat’</b>ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=janatā&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
32900	mānasa 1	adj	in comps	manas					of such mind; with such a heart			√man 3 ya (to think)		√man > mān + as + *a<br/>manas + *a	mānasa	√man										Thai		sādhu no bhante bhagavā sucira-parinibbuto’pi pacchimā-janat’ānukampa-<b>mānasā</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mānasa 1&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
39834	pacchima 5	adj	superl	pacchā					later; future; lit. last					pacchā + ima	paścima					AN 2.31	bālavaggo	dv'āhaṃ, bhikkhave, atthavase sampassamāno araññavanapatthāni pantāni sen'āsanāni paṭisevāmi. katame dve? attano ca diṭṭhadhammasukhavihāraṃ sampassamāno, <b>pacchimañ</b>'ca janataṃ anukampamāno.				Thai		sādhu no bhante bhagavā suciraparinibbuto’pi <b>pacchimā</b>-janat'ānukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchima 5&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
71053	pacchimājanatā	fem	comp						later generation; future population					pacchima + janatā												Thai		sādhu no bhante bhagavā suciraparinibbuto’pi <b>pacchimājanata</b>-anukampa-mānasā	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchimājanatā&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
70947	anukampamānasa	adj	comp						having compassion (for); taking pity (on); having concern (for); lit. with compassionate mind					anukampā + mānasa												Thai		sādhu no bhante bhagavā suciraparinibbuto’pi pacchimājanata-<b>anukampamānasā</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anukampamānasa&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
49763	sadhamma	adj		dhamma					with the Teaching; with the Doctrine			√dhar 1 a (to hold, carry, endure)		sa + √dhar + ma	sa + dharma	√dhṛ										Thai		tam’mayaṃ bhagavantaṃ <b>sadhammaṃ</b> sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sadhamma&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
54752	sasaṅgha	adj		saṅgha					with the Community; with the Assembly			√ghaṭ 1 a (to join together)		sa + saṃ + √ghaṭ + a	sa + saṃgha	√jhaṭ				BV 2.77	sumedha patthanā kathā	dassanaṃ me atikkante,<br/><b>sasaṅghe</b> lokanāyake,<br/>sayanā vuṭṭhahitvāna,<br/>pallaṅkaṃ ābhujiṃ tadā.				Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ <b>sasaṅghaṃ</b>, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sasaṅgha&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
69775	yathārahaṃ 1	ind	adv, comp						as is fit; as proper; as suitable; as should be					yathā + araha + aṃ												Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi <b>yath’ārahaṃ</b> āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yathārahaṃ 1&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
851	abhipūjayati	pr					trans	+acc	worships; highly respects; honours			√pūj 8 *aya (to honour, venerate)	√pūj + aya > pūjaya	abhi + pūjaya + ti	pūjayati	√pūj										Thai		tam’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi <b>abhipūjayāma</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhipūjayati&entry.1433863141=Anki"">Fix it here</a>."	 Buddh'ādi-āmisa-pūjā 
9325	arahaṃ	masc	nom sg, irreg	arahanta					enlightened being; lit. worthy one			√arah 1 a (to deserve, be worthy)		√arah + ant + aṃ<br/>arahant + aṃ	arha	√arh				MN 39	mahāassapurasuttaṃ	kathañ’ca bhikkhu <b>arahaṃ</b> hoti? ārak’āssa honti pāpakā akusalā dhammā, saṃkilesikā, ponobbhavikā, sadarā, dukkhavipākā, āyatiṃ, jātijarāmaraṇiyā.										SN 11.3	dhajaggasuttaṃ	<b>arahaṃ</b> sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	02n	55	[sound:arahaṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahaṃ&entry.1433863141=Anki"">Fix it here</a>."	  Buddh’ābhitthuti
