question	pāli	answer	source	feedback
What is the doctrine of non-doing taught by Pūraṇa Kassapa?		‘When one acts or makes others act, when one mutilates or makes others mutilate, when one tortures or makes others inflict torture, when one inflicts sorrow or makes others inflict sorrow, when one oppresses or makes others inflict oppression, when one intimidates or makes others inflict intimidation, when one kills living beings, takes what is not given, breaks into houses, plunders wealth, commits burglary, ambushes highways, seduces another’s wife, utters falsehood—no evil is done by the doer. If, with a razor-rimmed wheel, one were to make the living beings on this earth into one mass of flesh, into one heap of flesh, because of this there would be no evil and no outcome of evil. If one were to go along the south bank of the Ganges killing and slaughtering, mutilating and making others mutilate, torturing and making others inflict torture, because of this there would be no evil and no outcome of evil. If one were to go along the north bank of the Ganges giving gifts and making others give gifts, making offerings and making others make offerings, because of this there would be no merit and no outcome of merit. By giving, by taming oneself, by restraint, by speaking truth, there is no merit and no outcome of merit.’	MN 60	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the doctrine of non-causality taught by the The Ājı̄vaka leader Makkhali Gosāla?		‘There is no cause or condition for the defilement of beings; beings are defiled without cause or condition. There is no cause or condition for the purification of beings; beings are purified without cause or condition. There is no power, no energy, no manly strength, no manly endurance. All beings, all living things, all creatures, all souls are without mastery, power, and energy; moulded by destiny, circumstance, and nature, they experience pleasure and pain in the six classes.’		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are 2 qualities that protect the world?		1. Moral shame 2. Moral dread “If these two bright qualities did not protect the world, there would not be seen here [any restraint regarding] one’s mother, aunts, or the wives of one’s teachers and [other] respected people. The world would become promiscuous, like goats and sheep, chickens and pigs, dogs and jackals.”	AN 2.9	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 37 Requisites for Awakening?	bodhipakkhiya-dhamma	Cattāro satipaṭṭhānā The Four Foundations of Mindfulness Cattāro sammappadhānā The Four Right Strivings Cattāro iddhipādā The Four Bases of Spiritual Power Pañc’indriyāni The Five Faculties Pañca balāni The Five Powers Satta bojjh’aṅgā The Seven Factors of Awakening Ariyo aṭṭh’aṅgiko maggo The Noble Eightfold Path	DN 16	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 4 right strivings?	Cattāro sammappadhānā	1. Arousing energy for the non-arising of unarisen evil unwholesome states 2. Abandoning arisen evil unwholesome states 3. Arousing energy for unarisen wholesome states 4. Sustaining and increasing arisen wholesome states		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 5 bases for spiritual power?		1. Power of faith 2. Power of energy 3. Power of mindfulness 4. Power of concentration 5. Power of wisdom	SN 50.1	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the ten fetters?	saṃyojana	The 5 lower fetters: 1. Personal-existence view 2. Doubt 3. Wrong grasp of behavior and observances 4. Sensual desire 5. Ill will The 5 higher fetters: 1. Lust for form 2. Lust for the formless 3. Conceit 4. Restlessness 5. Ignorance		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of a blood smeared bone?		“Householder, suppose a dog, overcome by hunger and weakness, was waiting by a butcher’s shop. Then a skilled butcher or his apprentice would toss the dog a well hacked, clean hacked skeleton of meatless bones smeared with blood. What do you think, householder? Would that dog get rid of his hunger and weakness by gnawing such a well hacked, clean hacked skeleton of meatless bones smeared with blood?” “No, venerable sir. Why is that? Because that was a skeleton of well hacked, clean hacked meatless bones smeared with blood. Eventually that dog would reap weariness and disappointment.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to a skeleton by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of a piece of meat?		“Householder, suppose a vulture, a heron, or a hawk seized a piece of meat and flew away, and then vultures, herons, and hawks pursued it and pecked and clawed it. What do you think, householder? If that vulture, heron, or hawk does not quickly let go of that piece of meat, wouldn’t it incur death or deadly suffering because of that?” “Yes, venerable sir.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to a piece of meat by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of a blazing grass torch?		“Householder, suppose a man took a blazing grass torch and went against the wind. What do you think, householder? If that man does not quickly let go of that blazing grass torch, wouldn’t that blazing grass torch burn his hand or his arm or some other part of his body, so that he might incur death or deadly suffering because of that?” “Yes, venerable sir.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to a grass torch by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of a charcoal pit?		“Householder, suppose there were a charcoal pit deeper than a man’s height full of glowing coals without flame or smoke. Then a man came who wanted to live and not to die, who wanted pleasure and recoiled from pain, and two strong men seized him by both arms and dragged him towards that charcoal pit. What do you think, householder? Would that man twist his body this way and that?” “Yes, venerable sir. Why is that? Because that man knows that if he falls into that charcoal pit, he will incur death or deadly suffering because of that.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to a charcoal pit by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of a dream?		“Householder, suppose a man dreamt about lovely parks, lovely groves, lovely meadows, and lovely lakes, and on waking he saw nothing of it. So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to a dream by the Blessed One; they provide much suffering and much despair, while the danger in them is great.’	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similir of borrowed goods?		“Householder, suppose a man borrowed goods on loan—a fancy carriage and fine-jewelled earrings—and preceded and surrounded by those borrowed goods he went to the marketplace. Then people, seeing him, would say: ‘Sirs, that is a rich man! That is how the rich enjoy their wealth!’ Then the owners, whenever they saw him, would take back their things. What do you think, householder? Would that be enough for that man to become dejected?” “Yes, venerable sir. Why is that? Because the owners took back their things.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to borrowed goods by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the similie of fruits on a tree?		“Householder, suppose there were a dense grove not far from some village or town, within which there was a tree laden with fruit but none of its fruit had fallen to the ground. Then a man came needing fruit, seeking fruit, wandering in search of fruit, and he entered the grove and saw the tree laden with fruit. Thereupon he thought: ‘This tree is laden with fruit but none of its fruit has fallen to the ground. I know how to climb a tree, so let me climb this tree, eat as much fruit as I want, and fill my bag.’ And he did so. Then a second man came needing fruit, seeking fruit, wandering in search of fruit, and taking a sharp axe, he too entered the grove and saw that tree laden with fruit. Thereupon he thought: ‘This tree is laden with fruit but none of its fruit has fallen to the ground. I do not know how to climb a tree, so let me cut this tree down at its root, eat as much fruit as I want, and fill my bag.’ And he did so. What do you think, householder? If that first man who had climbed the tree doesn’t come down quickly, when the tree falls, wouldn’t he break his hand or his foot or some other part of his body, so that he might incur death or deadly suffering because of that?” “Yes, venerable sir.” “So too, householder, a noble disciple considers thus: ‘Sensual pleasures have been compared to fruits on a tree by the Blessed One.”	MN 54.2	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the types of gain for bhikkhus?		"“Bhikkhus, this is certainly a type of gain, namely: being a forest-dweller being one who lives on food acquired on alms round being a wearer of rag robes having just three robes being a speaker on the Dhamma being an upholder of the discipline great learning long-standing having proper deportment the acquisition of a retinue having a large retinue coming from a good family being handsome being an excellent speaker having few desires having good health Addhamidaṁ, bhikkhave, lābhānaṁ yadidaṁ āraññikattaṁ … pe … piṇḍapātikattaṁ … paṁsukūlikattaṁ … tecīvarikattaṁ … dhammakathikattaṁ … vinayadharattaṁ … bāhusaccaṁ … thāvareyyaṁ … ākappasampadā … parivārasampadā … mahāparivāratā … kolaputti … vaṇṇapokkharatā … kalyāṇavākkaraṇatā … appicchatā … appābādhatā""ti."	AN 1.378-393	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is worse than the loss of relatives?		The loss of wisdom	AN 1.76	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 2 things has the Buddha personally known?	dvinn'āhaṃ, bhikkhave, dhammānaṃ upaññāsiṃ	1. Non-contentment in regard to wholesome qualities 2. Indefatigability in striving yā ca asantuṭṭhitā kusalesu dhammesu, yā ca appaṭivānitā padhānasmiṃ.	AN 2.5	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
When samatha is developed, what is consequently developed and experienced?	samatho, bhikkhave, bhāvito kamattham'anubhoti?	The mind is developed and lust is abanonded. Mind overcame by lust can not be liberated. Through the fading away of lust there is liberation of mind. cittaṃ bhāvīyati. yo rāgo so pahīyati. rāgupakkiliṭṭhaṃ vā, bhikkhave, cittaṃ na vimuccati. iti kho, bhikkhave, rāgavirāgā cetovimutti	AN 2.31	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
When vipassanā is developed, what is consequently developed and experienced?	vipassanā, bhikkhave, bhāvitā kamatthamanubhoti?	wisdom is developed. Ignorance is abandoned. Through the fading away of ignorance there is liberation by wisdom. paññā bhāvīyati. yā avijjā sā pahīyati. avijjupakkiliṭṭhā vā paññā bhāvīyati. iti kho, bhikkhave, rāgavirāgā cetovimutti, avijjāvirāgā paññāvimuttī”ti.	AN 2.32	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 2 desires are hard to abandon?		1. Desire for gain 2. Desire for life	AN 2.118	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
